topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
6,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",27,"['wine', 'sip', 'bottle', 'drunk', 'whiskey', 'waiter', 'scotch', 'alcohol', 'drinking', 'poured', 'cup', 'drinks', 'sips', 'glasses', 'drank', 'pour', 'tea', 'mug', 'bar', 'liquor', 'table', 'vodka', 'tequila', 'took', 'beers', 'set', 'tray']",Wine-drinking At Table,"The couple sits at a table, sipping wine from their glasses.","social_setting, physical_affection","setting:table, activity:drinking_wine",False,"The top keywords 'wine', 'sip', 'bottle', and 'drunk' indicate a scene centered around drinking wine. The snippets show characters engaging in this activity at a table, supporting the label and chosen categories.",5.2,Friends & Social Circles,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on the heroine's actions with wine, which do not directly relate to the heroine–hero relationship or any of Radway's 13 functions. The Stage 2 taxonomy group 'Friends & Social Circles' further supports that this topic is about the heroine's social world outside the couple, not the core romance narrative."
10,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",27,"['door', 'doors', 'opens', 'opened', 'knock', 'hallway', 'stairs', 'elevators', 'floor', 'doorbell', 'shut', 'lock', 'closed', 'button', 'lobby', 'doorway', 'corridor', 'walk', 'doorman', 'closes', 'hall', 'office', 'foyer', 'building', 'step', 'walked', 'opening']",Knocking On Door,Someone hesitates before knocking on a door in a hallway.,"domestic_life, social_setting","setting:hallway, activity:knocking",False,"The top keywords 'door', 'doors', 'knock', 'hallway' indicate a scene centered around knocking on a door. The snippets confirm this, with phrases like 'can you open the door?' and 'is he coming out the front door?' supporting the label and scene summary.",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic revolves around domestic spaces and routines, specifically doors, which are not central to the heroine–hero relationship. It does not primarily realise any of Radway's 13 functions."
11,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",27,"['wine', 'kitchen', 'plate', 'sip', 'waitress', 'bottle', 'cup', 'mug', 'dinner', 'food', 'eat', 'table', 'tea', 'salad', 'sipped', 'breakfast', 'counter', 'cream', 'lunch', 'bowl', 'fork', 'ice', 'poured', 'took', 'tray', 'sandwich', 'drinks']",Wine Tasting At Dinner,"The couple sits at a dinner table, sipping wine and waiting for their food.","social_setting, romance_core","setting:restaurant, activity:dinner, activity:wine_tasting",False,"The top keywords 'wine', 'dinner', 'food', and 'waitress' indicate a social setting involving a meal. The verb 'sip' suggests wine tasting, which is supported by the snippets mentioning wine glasses and bottles.",8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on actions in a public space, specifically involving wine, which is not directly related to the heroine–hero relationship or its narrative arc. It does not primarily realise any of Radway's 13 functions."
16,"fathera, parents, died, dada, older, fathers, children, kids, grandson, hea",27,"['fathera', 'parents', 'died', 'dada', 'older', 'fathers', 'children', 'kids', 'grandson', 'hea', 'years', 'uncles', 'youngest', 'brothera', 'dads', 'nephew', 'age', 'didna', 'familya', 'grandpaa', 'passed', 'youa', 'tell', 'having', 'kind', 'wasna', 'want']",Intergenerational Family Bonding,"The youngest grandson sits with his older uncles, reminiscing about their fathers' shared history.","domestic_life, relationship_conflict","setting:home, activity:reminiscing",False,"The keywords 'parents', 'fathers', 'children', and 'years' indicate a focus on family history. The snippets show characters discussing and remembering their fathers, suggesting a scene of intergenerational bonding and shared memories.",5.1,Family & Kinship,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on the hero's family and past, not the heroine–hero relationship, so it does not primarily realise any of Radway's 13 functions."
24,"rings, buzzes, pocket, rang, screen, cellphone, nightstand, ringing, message, purse",27,"['rings', 'buzzes', 'pocket', 'rang', 'screen', 'cellphone', 'nightstand', 'ringing', 'message', 'purse', 'buzzed', 'phones', 'vibrates', 'messages', 'dialed', 'grab', 'pinged', 'dings', 'app', 'blackberry', 'pull', 'pick', 'bag', 'beeps', 'check', 'desk', 'checked']",Phone Notifications During Night,"She's about to fall asleep when her phone buzzes on the nightstand, lighting up the screen with an incoming message.","domestic_life, relationship_conflict","setting:bedroom, activity:texting",False,"The top keywords 'phone', 'buzzes', 'nightstand', and 'message' indicate that the topic revolves around phone notifications during nighttime. The snippets confirm this, showing characters reacting to their phones buzzing or vibrating at night.",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic is about a phone buzzing, which is a background context and not directly related to the heroine–hero relationship. It does not correspond to any of Radway's 13 functions."
27,"door, doors, opened, car, stairs, shut, stepped, purse, headed, walked",27,"['door', 'doors', 'opened', 'car', 'stairs', 'shut', 'stepped', 'purse', 'headed', 'walked', 'unlocked', 'hall', 'opens', 'closed', 'button', 'knocked', 'elevators', 'lock', 'knob', 'climbed', 'hallway', 'doorway', 'pulled', 'passenger', 'inside', 'slammed', 'entrance']",Exiting Through Doorways,"She opened the door and stepped out into the hallway, leaving him behind in the car.","domestic_life, social_setting","setting:doorway, activity:exiting",False,"The top keywords 'door', 'doors', 'car', and 'stairs' indicate a scene of exiting through doorways. The snippets confirm this, showing characters opening doors and leaving through them.",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on mundane actions and objects, not the heroine–hero relationship. It lacks keywords, labels, or summaries related to romance or conflict, and its taxonomy group is 'Domestic Spaces & Routines', which is not central to the heroine–hero arc."
29,"minutes, weeks, months, days, week, hours, years, month, seconds, hour",27,"['minutes', 'weeks', 'months', 'days', 'week', 'hours', 'years', 'month', 'seconds', 'hour', 'ago', 'longer', 'ita', 'couple', 'minute', 'passed', 'longest', 'decades', 'later', 'maybe', 'weeksa', 'eta', 'half', 'took', 'lasted', 'counting', 'need']",Time Perception Distortion,"She felt like hours had passed, but it was only minutes.","romance_core, relationship_conflict","setting:undefined, activity:waiting",False,"The top keywords 'minutes', 'hours', and 'seconds' indicate a focus on time perception. The snippets show this time being experienced as distorted, with 'sixty minutes of your time' and 'the minutes feel like hours'. This label captures the typical scene of time passing differently due to emotional state.",3.1,Positive Emotions & Security,"Emotions, Cognition & Inner Life",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic lacks keywords, labels, or summaries related to the heroine–hero relationship, and it's not categorized under romance_core or relationship dynamics. It only discusses time duration, which is not a narrative function in Radway's taxonomy."
30,"game, hockey, puck, players, games, play, player, teams, goalie, goal",27,"['game', 'hockey', 'puck', 'players', 'games', 'play', 'player', 'teams', 'goalie', 'goal', 'offs', 'baseball', 'season', 'stadium', 'football', 'series', 'basketball', 'playoffs', 'sports', 'overtime', 'league', 'playing', 'period', 'nhl', 'teama', 'net', 'fans']",Hockey Game Action,"The couple watches a hockey game, focusing on the players and the puck.","social_setting, romance_core","setting:sports_event, activity:watching_game",False,"The top keywords 'game', 'hockey', 'puck', 'players' indicate a focus on a hockey game. The snippets confirm this, with phrases like 'game on.' and '[NAME] is looking at me with his hockey game face.' This topic describes a social setting where the couple engages in shared interest and bonding over a hockey game.",8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on a 'game' context, which is not directly related to the heroine–hero relationship or their emotional journey. The Stage 2 taxonomy group 'Public & Leisure Spaces' further confirms this topic's background nature."
33,"business, company, dollars, pay, job, million, thousand, paid, investment, cost",27,"['business', 'company', 'dollars', 'pay', 'job', 'million', 'thousand', 'paid', 'investment', 'cost', 'profit', 'paycheck', 'billion', 'income', 'bank', 'buy', 'companies', 'lot', 'dollar', 'moneya', 'account', 'arrangement', 'deal', 'bucks', 'paying', 'companya', 'transaction']",Business Discussion,The couple discusses business matters at the dinner table.,"domestic_life, work_or_school","setting:dinner_table, activity:discussion",False,"The top keywords 'business', 'company', and 'job' indicate a business context. The snippets show a conversation happening, likely at a dinner table, as suggested by the phrase 'âyour new business.â he deflated.'",6.1,Hero's Elite Work & Business World,"Work, Wealth, Status & Institutions",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on the hero's business world, which is not directly related to the heroine–hero relationship. It does not primarily realise any of Radway's 13 functions."
49,"babysitter, babya, born, babysit, healthy, having, want, infant, raise, youa",27,"['babysitter', 'babya', 'born', 'babysit', 'healthy', 'having', 'want', 'infant', 'raise', 'youa', 'months', 'harming', 'need', 'thata', 'outsiders', 'dona', 'fetal', 'epidural', 'unprotected', 'inflated', 'coos', 'hold', 'raising', 'health', 'newborn', 'adopt', 'term']",Hiring A Babysitter,She realizes she needs a babysitter for her infant.,"domestic_life, social_setting","setting:home, activity:calling",False,"The top keyword 'babysitter' and snippet 'i need a babysitter.' indicate the main action. The keyword 'infant' and snippet '[NAME] just called' suggest the context is domestic life, with the setting being at home. The keyword 'outsiders' and snippet 'i had no idea what a babysitter would charge' imply a social setting, as she's dealing with an external service.",5.2,Friends & Social Circles,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets indicate that this topic is about finding a babysitter, which is a practical task related to the heroine's daily life but not directly tied to her relationship with the hero. It does not primarily realise any of Radway's 13 functions in the heroine–hero romance arc."
