label,prevalence,mass,concentration_ratio,topic_id,keywords,scene_summary,label_is_noise
132____,0.0,1.025589204564032e-05,2.5715982701236726,132,", , , , , , , , , ",,
17____,0.0,2.8114547620416424e-06,2.069529060862772,17,", , , , , , , , , ",,
186____,0.0,1.0309184510993653e-05,2.5762589946025582,186,", , , , , , , , , ",,
18____,0.0,3.233888461625122e-06,2.0668259585816653,18,", , , , , , , , , ",,
224____,0.0,3.470768127123686e-06,2.1381818164764907,224,", , , , , , , , , ",,
283_ina___,0.0,4.15387228173766e-06,2.1343577370181612,283,"ina, , , , , , , , , ",,
359_pun_th_intended_declare,0.05434782608695652,0.0003008847182205994,20.14274794402967,359,"pun, th, intended, declare, entitled, speaking, told, , , ",,
Admiring Handsome Man,0.9239130434782609,0.001561323302405963,1.9051489340153684,196,"attractive, hea, incredibly, refined, devastatingly, handsomeness, irresistible, looks, endowed, looked",She admires his stunning features and irresistible looks in a luxurious hotel suite.,False
Admiring Intelligence,0.9456521739130435,0.0025190927561141844,2.0824731264464327,233,"loved, liked, adored, attractive, proud, intelligent, looked, excellent, pieces, stunning",He admired her intelligence as they discussed their shared interests over dinner.,False
Admiring Qualities,0.8913043478260869,0.0015227644224386023,1.6729176123283185,161,"liked, likes, hea, really, aggressively, actor, nicest, qualities, enjoy, intelligent",He admires her excellent qualities in the kitchen.,False
Adorable Nephew And Schnoodle,0.7717391304347826,0.001435482491381389,2.1254544933645967,362,"adorable, cutest, nephew, cutes, absolutely, schnoodle, easter, whitea, beinga, incredibly","The couple coos over their adorable nephew and his schnoodle, finding them absolutely adorable.",False
Adrenaline-fueled Racing,0.34782608695652173,0.0008403157831700212,4.352154751202041,313,"race, frowns, begins, starts, racing, brace, races, deluge, prebuyers, thoroughbred",The couple's hearts race as they watch thoroughbreds compete in a thrilling race.,False
Adrenaline-fueled game,0.8152173913043478,0.0028925590897060714,3.0200100399401415,19,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, beating",She feels her heart race and stomach flutter as he traces her veins with his fingers during intense foreplay.,False
