label,topic_id,trash_median,trash_mean,top_median,cliffs_top_trash,prevalence,mass,keywords,label_is_noise
OTHER (Missing/Noise Mass),-1,0.3089203215289421,0.31374967646749247,0.33316978759914534,0.4222222222222222,1.0,0.3198232363253939,,
Relationship Ambiguity Conversation,7,0.011546793171362979,0.011673373547373238,0.011617997710807307,0.044444444444444446,1.0,0.011645110428338193,"didn, won, therea, doesn, aren, thata, isn, mattered, shouldn, problem",False
Wine Tasting At Dinner,11,0.00915983710249044,0.009594775558990623,0.006958756216417989,-0.2311111111111111,1.0,0.008743308151988332,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",False
Work-related Presentation,223,0.008736411551703205,0.008948953516712635,0.008978255460990084,0.011111111111111112,1.0,0.008896884374054406,"wea, work, need, talked, presentation, whatevera, talk, discuss, adults, handle",False
Shoulder Burden,349,0.008154698312528205,0.00803675513923171,0.007499852110092441,-0.15555555555555556,1.0,0.0077005178775164445,"shoulders, raise, hunch, slump, square, straighten, weight, roll, dignity, bunch",False
Emotional Delusion Conversation,320,0.007099071118765159,0.007186161220344221,0.007133173024386775,-0.04,1.0,0.0070611637638898165,"feelsa, feela, better, feels, felta, feeling, soa, makes, felt, queasy",False
Optimistic Reassurance,192,0.0068704105183940885,0.006822445373033508,0.006552019657119608,-0.06888888888888889,1.0,0.0067277210697872444,"everythinga, ita, perfectly, suited, going, sashimi, fixable, totally, shhhh, sod",False
Pride In Accomplishments,85,0.006244451102817593,0.006430065563893333,0.005835478663314267,-0.2777777777777778,1.0,0.006178903332617791,"did, tried, thought, try, trya, course, dida, really, wona, hoped",False
Dominatrix Session,55,0.005743392782548063,0.007728456113510121,0.004008409379597068,-0.35555555555555557,0.9891304347826086,0.0062983456858546095,"wants, want, knows, needs, need, hera, needed, teach, ita, likes",False
Morning Routine Struggles,288,0.005725315492404823,0.005923745034078064,0.005881709217907562,0.015555555555555555,1.0,0.006000628738357529,"mornings, early, morninga, omg, righta, routine, noon, overnight, oj, tomorrow",False
Indoor Pool Swimming,351,0.005697375903213748,0.006078444993847443,0.00589254812967082,0.14444444444444443,1.0,0.006171271165149791,"pool, swimming, swim, scum, gene, float, swimmer, cabana, jell, indoor",False
Phone Ringing And Answering,54,0.0051139357580521575,0.005048861762650224,0.003641069482812059,-0.30666666666666664,0.9782608695652174,0.00437208493122179,"rang, dialed, message, texted, screen, picked, pocket, texting, checked, rings",False
Epic Love Confessions,108,0.004791378952656626,0.004741585969240778,0.005002887872606837,0.14,1.0,0.004973581242351355,"loved, fall, falling, believe, consuming, isna, true, fickle, kind, loves",False
Fascinated Gaze,229,0.004770131360051338,0.0047817722957034774,0.003571095661892327,-0.2733333333333333,0.9565217391304348,0.0041618191580314835,"widens, narrowed, gaze, widened, widen, tilts, narrows, brows, tilted, furrowed",False
Color Scheme Discussion,307,0.004752402587349675,0.0046518682159780245,0.004350483092607067,-0.07111111111111111,1.0,0.004482957344111026,"colors, favorite, yellow, scheme, bright, ones, shade, primary, packets, burgundy",False
Apologetic Excuse Me,65,0.00460393995584843,0.004722098841438466,0.004648112198506103,-0.006666666666666667,1.0,0.004660473495223628,"excuse, aye, alright, look, ew, excellent, bye, called, lottiea, buta",False
Wine-drinking At Table,6,0.004568130498689889,0.005027963754119717,0.005224274947355532,0.19777777777777777,1.0,0.005771855765454318,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",False
Hatred-fueled Argument,202,0.004513819987095438,0.004506710835078984,0.004092852196087874,-0.2911111111111111,1.0,0.004429549507428104,"hated, hate, hates, despised, disliked, hating, represented, despise, history, hatred",False
Puzzled Decision Making,77,0.004193211029334181,0.004358663671664246,0.004441244846885352,0.14666666666666667,0.9891304347826086,0.004510344172014588,"asks, asked, replies, whata, doing, says, answered, demanded, howa, tone",False
Intimate Breast And Nipple Kissing,1,0.00412240498117305,0.020073048915010102,0.0031262891610535906,-0.29777777777777775,0.9891304347826086,0.013795467902514574,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",False
Clitoral Stimulation During Foreplay,2,0.004119620052063688,0.006690450436165502,0.0056534299151833976,0.18833333333333332,0.967391304347826,0.007054173118124335,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",False
Awkward Questions At Door,139,0.004090348407709957,0.003591421287138211,0.0024182332801837127,-0.3244444444444444,0.9565217391304348,0.0030787500352812136,"asked, asks, doing, replied, whata, demanded, prompted, says, suspiciously, uh",False
