topic_id,label,keywords,scene_summary,label_is_noise,taxonomy_main_group,taxonomy_main_name,taxonomy_confidence,taxonomy_is_noise,taxonomy_secondary_group,taxonomy_secondary_name,radway_phase_name,radway_phase,radway_main_name,radway_confidence,radway_is_none,gate3_pass,mapping_notes,is_other,is_paratext,is_unmapped,is_low_coverage,is_author_dominant_high,is_author_dominant_med
0,Negotiating Deal,"ita, ia, need, say, want, going, dona, means, think, idea",The couple discusses terms and expectations for their relationship.,False,Relationship Trajectory (Main Couple),"Secrets, Misunderstandings & Hidden Information",medium,False,,,Initial Conflict & Isolation,I,Heroine reacts antagonistically to the hero,medium,False,False,,False,False,False,False,False,False
1,Intimate Breast And Nipple Kissing,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",He gently kisses her breasts and nipples while she responds with soft moans.,False,"Sexuality, Attraction & Intimacy",Explicit Sexual Acts,high,False,,,Commitment & Restoration,III,Heroine responds sexually and emotionally,high,False,False,,False,False,False,False,False,False
2,Clitoral Stimulation During Foreplay,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower","She spreads her legs, allowing him to run his tongue along her clit as she moans into his neck.",False,"Sexuality, Attraction & Intimacy",Explicit Sexual Acts,high,False,,,Commitment & Restoration,III,Heroine responds sexually and emotionally,high,False,False,,False,False,False,False,False,False
3,Dinner Invitation,"dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert","He invites her to dinner, suggesting a restaurant or specific meal.",False,Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",high,False,,,Turning Point & Recognition,II,Hero treats heroine tenderly,medium,False,False,,False,False,False,False,False,False
4,Unclear Relationship Feelings,"seen, felt, ia, wanted, hea, experienced, loved, dated, thought, told",The couple expresses confusion about their relationship status and past behavior.,False,Relationship Trajectory (Main Couple),"Secrets, Misunderstandings & Hidden Information",medium,False,,,Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
5,Long-term Relationship Struggles,"gone, gotten, given, week, trying, years, learned, seen, maybe, hea","She reflects on their years together, wondering if she's lost her way.",False,"Emotions, Cognition & Inner Life",Negative Emotions & Distress,high,False,,,Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
6,Wine-drinking At Table,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured","The couple sits at a table, sipping wine from their glasses.",False,Social World Outside Couple,Friends & Social Circles,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
7,Relationship Ambiguity Conversation,"didn, won, therea, doesn, aren, thata, isn, mattered, shouldn, problem","The couple sits together, struggling to express their feelings and clarify their relationship status.",False,Relationship Trajectory (Main Couple),"Secrets, Misunderstandings & Hidden Information",medium,False,,,Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
8,Unclear Relationship Feelings,"didna, didn, hadna, couldna, wasna, wanted, wasn, wouldna, knew, blame","She struggles with her feelings, unsure about her relationship.",False,"Emotions, Cognition & Inner Life",Negative Emotions & Distress,high,False,,,Initial Conflict & Isolation,I,Heroine reacts antagonistically to the hero,medium,False,False,,False,False,False,False,False,False
9,Marriage Ceremony Planning,"married, wedding, marriage, marry, divorce, marrying, divorced, engaged, getting, ceremony","The couple plans their wedding ceremony, discussing details and arrangements.",False,Relationship Trajectory (Main Couple),"Reconciliation, Commitments & HEA",high,False,"Spaces, Time, Activities & Objects",Public & Leisure Spaces,Commitment & Restoration,III,Heroine's identity is restored,high,False,False,,False,False,False,False,False,False
