label,topic_id,trash_median,trash_mean,top_median,cliffs_top_trash,prevalence,mass,keywords,label_is_noise
Relationship Ambiguity Conversation,7,0.016796051628550746,0.017016128516436302,0.01693662833890093,0.08444444444444445,1.0,0.017151843531055585,"didn, won, therea, doesn, aren, thata, isn, mattered, shouldn, problem",False
Wine Tasting At Dinner,11,0.013390683745302192,0.013895841134861198,0.010608681849747668,-0.21777777777777776,1.0,0.012778645127261944,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",False
Work-related Presentation,223,0.012798949717516942,0.013057169858999608,0.013236317792127996,0.07555555555555556,1.0,0.013097007483136427,"wea, work, need, talked, presentation, whatevera, talk, discuss, adults, handle",False
Shoulder Burden,349,0.011749279101080395,0.011722431326780277,0.01146641394390972,-0.07111111111111111,1.0,0.011327450508239734,"shoulders, raise, hunch, slump, square, straighten, weight, roll, dignity, bunch",False
Emotional Delusion Conversation,320,0.010527993597484589,0.010486109965973368,0.010624297899464008,0.02666666666666667,1.0,0.010395936860000978,"feelsa, feela, better, feels, felta, feeling, soa, makes, felt, queasy",False
Optimistic Reassurance,192,0.009814084824124417,0.009957472730116471,0.009893602310143777,0.008888888888888889,1.0,0.009910254129777453,"everythinga, ita, perfectly, suited, going, sashimi, fixable, totally, shhhh, sod",False
Pride In Accomplishments,85,0.00905829497519696,0.00937780441119209,0.008813069923014817,-0.19555555555555557,1.0,0.00909358073757475,"did, tried, thought, try, trya, course, dida, really, wona, hoped",False
Indoor Pool Swimming,351,0.008365788443959896,0.00886658568645959,0.009039426974387595,0.20222222222222222,1.0,0.009074194602721217,"pool, swimming, swim, scum, gene, float, swimmer, cabana, jell, indoor",False
Dominatrix Session,55,0.00834068756390838,0.01116024262743979,0.005967560533581216,-0.35333333333333333,1.0,0.009157512758387904,"wants, want, knows, needs, need, hera, needed, teach, ita, likes",False
Morning Routine Struggles,288,0.008321413205636315,0.008631999854189156,0.00875725279419267,0.08444444444444445,1.0,0.00882410263084243,"mornings, early, morninga, omg, righta, routine, noon, overnight, oj, tomorrow",False
Phone Ringing And Answering,54,0.007443333432446549,0.00730478760366612,0.005348134339426266,-0.30444444444444446,1.0,0.006382618539640388,"rang, dialed, message, texted, screen, picked, pocket, texting, checked, rings",False
Epic Love Confessions,108,0.0070839706574648935,0.006914810610731553,0.007448539899155894,0.17777777777777778,1.0,0.007319283142732392,"loved, fall, falling, believe, consuming, isna, true, fickle, kind, loves",False
Color Scheme Discussion,307,0.0068714019450403264,0.006797575604337262,0.006599379902598109,-0.022222222222222223,1.0,0.006605303321357596,"colors, favorite, yellow, scheme, bright, ones, shade, primary, packets, burgundy",False
