Topic ID,Keywords,mistralai/mistral-7b-instruct:free Label,venice/uncensored:free Label,mistralai/mistral-nemo Label,deepseek/deepseek-chat-v3-0324 Label,x-ai/grok-4.1-fast Label
0,"means, idea, promise, work, help, better, true, deal, today, game",Work and Career Tasks,Negotiating Favor Exchange,Negotiated Deal,Negotiating A Deal,Negotiating Promises and Deals
1,"hips, tongue, breasts, mouth, body, arms, neck, thighs, nipples, hand",Tongue and Breast Foreplay,Mouth and Hip Movement,Tongue and Breast Foreplay,Passionate Kissing and Body Contact,French Kissing Breast Gripping
2,"clit, pussy, tongue, hips, legs, mouth, neck, lip, lower, thighs",Clitoral Stimulation and Pussy,Clitoral Stimulation With Tongue,Clitoral Tongue Strokes,Clitoral Stimulation With Tongue,Tongue on Clit
3,"dinner, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert, hungry",Dinner Invitation,dinner,Dinner Invitation,Dinner Date Invitation,Dinner Invitations
4,"way, years, matter, things, able, relationship, place, thing, feelings, kind",First Time With Woman,Unusual Relationship Behavior,Unexpected Connection,Unseen Relationship Dynamics,Unusual Relationship Behaviors
5,"week, years, job, fallen, days, times, months, able, things, different",Long-term Heartbreak,Long Lost Love,Long-term Absence,Long Absence and Heartbreak,Her Absence Over Time
6,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, cup, drinks",Wine Drinking,Wine Sipping at Table,Wine Sipping,Drinking Wine at Table,Sipping Wine at Table
7,"problem, deal, idea, point, luck, choice, true, fault, necessary, need",Problem Discussion,Denial of Responsibility,Clarifying Misunderstandings,Pit of The Problem (note: Given,Denials and Excuses
8,"wrong, thought, able, feelings, course, control, choice, things, deal, words",Self-doubt and Hesitation,Uncertain Emotional Conflict,Unwanted Encounter,Emotional Doubt and Hesitation,Doubting Feelings and Choices
9,"married, wedding, marriage, divorce, divorced, ceremony, planner, arranged, honeymoon, planning",Marriage Status Discussion,Marriage Announcement,Marriage Discussion,Marriage and Divorce Discussions,Marriage Status Revelations
10,"door, doors, knock, hallway, stairs, elevators, floor, lock, button, lobby",Doorways and Hallways,door,Hallway Doorways,Front Door Access and Entry,Front Door Interactions
11,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",Wine Service,wine,Wine Sipping at Bar,Wine Drinking in Kitchen,Sipping Wine in Kitchen
12,"kisses, tongue, mouth, neck, leans, lip, soft, lower, tender, forehead",Tender Forehead Kisses,kisses,Tender Forehead Kisses,Tender Kisses on Mouth,Tongue Mouth Neck Kisses
13,"smile, laugh, laughs, grin, eyebrows, giggles, laughter, small, eyebrow, bright",Playful Smiles and Laughter,Playful Smiles and Laughter,Playful Smiles,Playful Smiles and Laughter,Smiling at Each Other
14,"smile, smiles, grin, grins, laughter, gleam, corners, crooked, genuine, mouth",Playful Smiles,Smiles and Greetings,Playful Smiles,Happy Smiles and Grins,Smiling at Him
15,"clit, hips, pussy, legs, thighs, erection, waist, thigh, panties, hand",Clitoral Stimulation,Clitoral Stimulation With Hands,Clitoral Foreplay,Clitoral Stimulation With Hands,Clitoral Stimulation
16,"parents, older, fathers, children, kids, grandson, years, uncles, youngest, dads",Family Relationships With Parents,Family Legacy and Responsibility,Fathers' Responsibility,Family Relationships and Generations,Discussions About Parents
19,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, tingle",Body Sensations and Adrenaline,Anxious Stomach Sensations,Adrenaline-fueled Heart Racing,Racing Heartbeat and Stomach Tension,Nervous Stomach Pounding Heart
20,"gaze, stare, stares, eye, features, glare, expression, brows, head, attention",Gaze and Expression,gaze,Eye Contact,Intense Eye Contact,Meeting Each Other's Gaze
21,"car, driver, parking, cars, driveway, suv, curb, cab, drive, vehicle",Car Repair,car,Car Makeout,Car in Driveway,Car Scenes
22,"control, thought, thing, prepared, choice, deal, wrong, problem, way, effort",control,control,Refusing to Comply,Internal Conflict and Resistance,I Didn't Denials
23,"board, mug, arm, chair, hand, lodge, table, tone, room, position",Conversation at Table,Lodge Conversation,Board Game Foreplay,Casual Conversation in Lodge,Lodge Room Table Conversation
24,"rings, buzzes, pocket, screen, cellphone, nightstand, message, purse, phones, vibrates",Phone Buzzing in Pocket,Phone Buzzes in Pocket,Phone Vibrations,Phone Buzzing in Pocket,Phone Buzzing in Pocket
25,"smile, laugh, laughter, grin, burst, forced, lip, loud, goofy, cheeks",Fake Smiles,Forced Smiles and Greetings,Forced Smiles,Forced Smiles and Laughter,Smiles and Laughter
26,"tonight, night, evening, nights, stand, nighttime, fun, different, best, middle",Tonight Plans,Night Out Invitation,Nighttime Date,Evening Plans Discussion,Suggesting Outing Tonight
27,"door, doors, car, stairs, purse, hall, button, elevators, lock, knob",Doorways and Car Doors,Doorways and Entrances,Doorway Exits,Doorways and Car Exits,Opening Doors
28,"complication, choice, guacamole, mind, things, matter, material, question, fact, invitation",Rejection of Invitation,Refusal of Invitation,Stubborn Refusal,Indecisive Internal Conflict,Defiant Dismissive Statements
29,"minutes, weeks, months, days, week, hours, years, month, seconds, hour",Minutes,Short Time Duration,Twenty-minute Wait,Time Measurements in Minutes,Minutes Duration References
30,"game, hockey, puck, players, games, player, teams, goalie, goal, baseball",Hockey Game,Hockey Game Preparation,Hockey Game,Hockey Game Action,Hockey Game Scenes
31,"clothes, outfit, wardrobe, clothing, outfits, tomorrow, selling, different, fashion, compatible",Clothing Shopping Together,Wardrobe Planning Together,Clothing Discussion,Wardrobe and Outfit Selection,Outfit Wardrobe Planning
