topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
1,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",27,"['kissed', 'hips', 'tongue', 'breasts', 'mouth', 'body', 'arms', 'slid', 'neck', 'thighs', 'nipples', 'moved', 'thrust', 'stroked', 'hand', 'nipple', 'wrapped', 'clit', 'pressed', 'cupped', 'leaned', 'gently', 'waist', 'legs', 'flesh', 'pulled', 'pleasure']",Intimate Breast And Nipple Kissing,He gently kisses her breasts and nipples while she responds with soft moans.,"physical_affection, sexual_content","setting:bedroom, activity:kissing",False,"The top keywords 'breasts', 'mouth', 'nipples' and the snippets describing kissing and responding indicate a scene of intimate breast and nipple kissing.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main_category of 'Explicit Sexual Acts' and the representative snippets describing kisses and oral sex indicate that this topic primarily realizes Radway's function R12, where the heroine responds sexually and emotionally to the hero."
2,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",27,"['clit', 'pussy', 'tongue', 'hips', 'legs', 'mouth', 'neck', 'pull', 'lip', 'lower', 'thighs', 'waist', 'hair', 'hand', 'thumb', 'arms', 'grip', 'slide', 'moans', 'thrust', 'nipple', 'press', 'suck', 'inside', 'wrap', 'closer', 'body']",Clitoral Stimulation During Foreplay,"She spreads her legs, allowing him to run his tongue along her clit as she moans into his neck.","sexual_content, romance_core","setting:bedroom, activity:oral_sex, sexual:clitoral_stimulation",False,"The top keywords 'clit', 'tongue', 'hips', 'legs', and 'mouth' clearly indicate explicit sexual activity. The snippets confirm this, describing a man stimulating a woman's clitoris with his tongue during foreplay.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets explicitly describe sexual acts, including oral sex and penetration, which align with Radway's function R12. The main taxonomy ID of 2.3 further confirms this, as it falls under 'Explicit Sexual Acts'."
9,"married, wedding, marriage, marry, divorce, marrying, divorced, engaged, getting, ceremony",27,"['married', 'wedding', 'marriage', 'marry', 'divorce', 'marrying', 'divorced', 'engaged', 'getting', 'ceremony', 'planner', 'wea', 'arranged', 'honeymoon', 'youa', 'want', 'planning', 'papers', 'annulled', 'groom', 'engagement', 'soon', 'years', 'months', 'isna', 'weeks', 'vegas']",Marriage Ceremony Planning,"The couple plans their wedding ceremony, discussing details and arrangements.","romance_core, domestic_life","setting:wedding_planning, activity:planning",False,"The top keywords 'married', 'wedding', 'marriage', 'ceremony', 'planner' indicate a focus on wedding planning. The snippets discuss marriage and planning, supporting the label and categories.",4.5,"Reconciliation, Commitments & HEA",Relationship Trajectory (Main Couple),8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",high,False,R13,Heroine's identity is restored,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets all revolve around the concept of marriage, which is a clear indicator of the heroine's identity being restored (R13) in the heroine–hero romance arc. The main taxonomy ID of 4.5 further supports this, as it falls under 'Reconciliation, Commitments & HEA'."
15,"clit, hips, pussy, legs, thighs, erection, waist, thigh, panties, pulls",27,"['clit', 'hips', 'pussy', 'legs', 'thighs', 'erection', 'waist', 'thigh', 'panties', 'pulls', 'hand', 'slides', 'arm', 'thumb', 'arms', 'wrap', 'tongue', 'leg', 'grabs', 'hip', 'inside', 'sliding', 'knees', 'shoulders', 'body', 'grip', 'pushes']",Clitoral Stimulation During Foreplay,He rubs her clit with his hand while they make out in the elevator.,"sexual_content, romance_core","setting:elevator, activity:making_out, sexual:clitoral_stimulation",False,"Top keywords include 'clit', 'hand', and 'elevator'. Snippets describe a man stimulating a woman's clitoris with his hand in an elevator, indicating a sexual scene with clear physical affection.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets explicitly describe sexual acts, including clitoral stimulation, which is a clear indicator of R12. The main taxonomy ID of 2.3 further supports this, as it falls under 'Explicit Sexual Acts'."
19,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, beating",27,"['stomach', 'chest', 'blood', 'veins', 'temples', 'spine', 'belly', 'adrenaline', 'heartbeat', 'beating', 'tingle', 'races', 'begins', 'shiver', 'beat', 'pounds', 'beats', 'racing', 'flutters', 'thuds', 'rate', 'thud', 'stabs', 'endings', 'pounding', 'knots', 'twists']",Adrenaline-fueled game,She feels her heart race and stomach flutter as he traces her veins with his fingers during intense foreplay.,"sexual_content, romance_core","setting:bedroom, activity:foreplay, sexual:touching",False,"The keywords 'stomach', 'chest', 'blood', 'veins', 'adrenaline', and 'tingle' suggest a heightened emotional and physical state. The snippets confirm this, mentioning heart racing and stomach fluttering, indicating intense arousal and foreplay.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main category of 'Explicit Sexual Acts' directly corresponds to Radway's function R12, which involves explicit sexual and emotional union between the hero and heroine. The representative snippets, such as 'my stomach feels like it's carrying a cannonball' and 'my heart hammers in my chest', suggest a strong emotional response accompanying the sexual act, further supporting R12."
42,"sexual, intimate, virginity, intimacy, having, sexually, blowing, sexa, sexuality, just",27,"['sexual', 'intimate', 'virginity', 'intimacy', 'having', 'sexually', 'blowing', 'sexa', 'sexuality', 'just', 'unprotected', 'havena', 'meaningless', 'sexiest', 'thing', 'experience', 'ita', 'feels', 'affair', 'best', 'aspect', 'chemistry', 'sexier', 'rule', 'virgins', 'physical', 'isna']",Exploring Virginity,She tentatively explores her virginity with him.,"romance_core, sexual_content","setting:bedroom, activity:exploring_virginity",False,"The top keywords 'virginity', 'sexual', and 'intimacy' indicate a scene focused on exploring virginity. The snippets confirm this, mentioning 'sexual' and 'dirty mind', suggesting a sexual context. The label 'Exploring Virginity' and the scene summary capture this theme, with the secondary categories specifying the bedroom setting and the sexual activity.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main category 'Explicit Sexual Acts' directly corresponds to Radway's R12, as it describes sexual acts and foreplay, combining erotic fulfilment and emotional acceptance."
55,"wants, want, knows, needs, need, hera, needed, teach, ita, likes",27,"['wants', 'want', 'knows', 'needs', 'need', 'hera', 'needed', 'teach', 'ita', 'likes', 'dona', 'think', 'thata', 'gratification', 'wantsa', 'cana', 'definitely', 'wanted', 'includes', 'doga', 'tell', 'gets', 'belong', 'possess', 'means', 'course', 'desires']",Dominatrix Session,"A dominatrix guides her client through a BDSM session, focusing on her desires and means of gratification.","sexual_content, domestic_life","setting:bedroom, activity:BDSM, sexual:dominatrix",False,"The top keywords 'dominatrix', 'gratification', 'means', and 'sexual' indicate a sexual scenario involving a dominatrix. The snippets confirm this, showing the client's desire to please the dominatrix and her control over the situation.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main category, 'Explicit Sexual Acts', directly corresponds to Radway's function R12, which involves explicit sexual and emotional union between the hero and heroine. The representative snippets also suggest a focus on the heroine's desires and the hero's willingness to fulfill them, which is a common theme in union scenes."
85,"did, tried, thought, try, trya, course, dida, really, wona, hoped",27,"['did', 'tried', 'thought', 'try', 'trya', 'course', 'dida', 'really', 'wona', 'hoped', 'honest', 'finalists', 'snatchers', 'soldiered', 'think', 'victories', 'brigham', 'yesss', 'somebody', 'convert', 'famished', 'glorified', 'maybe', 'wimp', 'orchestrated', 'best', 'doing']",Pride In Accomplishments,She proudly reflects on her achievements.,"romance_core, domestic_life","setting:home, activity:reflecting",False,"The top keyword 'course' and the snippets 'i did it.', 'i did all that.', and 'i did amount to something.' indicate a character reflecting on their accomplishments, supporting the label 'Pride In Accomplishments'. The use of 'home' in the snippets justifies the 'setting:home' secondary category.",3.1,Positive Emotions & Security,"Emotions, Cognition & Inner Life",,,,high,False,R13,Heroine's identity is restored,,III,Commitment & Restoration,False,high,"The topic's keywords and representative snippets ('i did it.', 'i did all that.', 'i did amount to something.') suggest a sense of accomplishment and self-worth, which aligns with the heroine's identity restoration in Phase III of Radway's narrative functions."
93,"parents, apologies, died, sister, ex, dada, brogue, pleasure, woozy, daughter",27,"['parents', 'apologies', 'died', 'sister', 'ex', 'dada', 'brogue', 'pleasure', 'woozy', 'daughter', 'drama', 'shameless', 'moma', 'fault', 'acquisition', 'tough', 'ego', 'newest', 'grandson', 'clarified', 'world', 'filter', 'added', 'thoughts', 'flush', 'doesna', 'consultant']",Family Apologies And Reconciliation,"The family gathers around the table, with parents and siblings present, as apologies are exchanged and past faults are addressed.","domestic_life, relationship_conflict","setting:table, activity:apologizing",False,"The top keywords 'parents', 'apologies', 'sister', 'ex', and 'fault' indicate a family-focused scene centered around making amends. The snippets confirm this, showing conversations around a table with family members present.",5.1,Family & Kinship,Social World Outside Couple,4.5,"Reconciliation, Commitments & HEA",Relationship Trajectory (Main Couple),high,False,R13,Heroine's identity is restored,,III,Commitment & Restoration,False,medium,"The topic's main taxonomy category is 'Family & Kinship', which often signals a resolution or commitment phase in romance narratives. The secondary category 'Reconciliation, Commitments & HEA' further supports this. The snippets suggest a conversation about family backgrounds and an apology, which are common in the commitment and restoration phase of a romance."
102,"hair, strands, brushes, grip, strand, handful, hand, runs, threads, gently",27,"['hair', 'strands', 'brushes', 'grip', 'strand', 'handful', 'hand', 'runs', 'threads', 'gently', 'tugs', 'strokes', 'run', 'drags', 'grabs', 'tangled', 'pushes', 'threading', 'ran', 'gripping', 'lock', 'pulling', 'locks', 'threaded', 'tightening', 'forehead', 'gripped']",Hair Tugging During game,"He grips her hair, tugging gently as they kiss passionately.","sexual_content, romance_core","setting:bedroom, activity:kissing, sexual:hair_pulling",False,"The top keywords 'hair', 'strands', 'grip', and 'tugs' along with the snippets showing hair being grabbed during intimate moments support the label and categories.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main category of 'Explicit Sexual Acts' directly corresponds to Radway's function R12, which involves explicit sexual and emotional union between the hero and heroine. The representative snippets, such as 'his hands were in my hair again, and his lips were on mine', clearly depict a sexual encounter, making R12 the most fitting function."
