label,prevalence,mass,concentration_ratio,topic_id,keywords,scene_summary,label_is_noise
132____,0.0,1.5106183787578657e-05,2.637672429519427,132,", , , , , , , , , ",,
17____,0.0,4.139321945112678e-06,2.123598849983927,17,", , , , , , , , , ",,
186____,0.0,1.5184727816619739e-05,2.6424445354198727,186,", , , , , , , , , ",,
18____,0.0,4.76128240255378e-06,2.120821226218178,18,", , , , , , , , , ",,
224____,0.0,5.110515885672147e-06,2.193837966986964,224,", , , , , , , , , ",,
283_ina___,0.0,6.1163444743861475e-06,2.189916083863719,283,"ina, , , , , , , , , ",,
359_pun_th_intended_declare,0.06521739130434782,0.00045821417883056497,20.48586638925035,359,"pun, th, intended, declare, entitled, speaking, told, , , ",,
Admiring Handsome Man,1.0,0.002298773662667257,1.953814165809361,196,"attractive, hea, incredibly, refined, devastatingly, handsomeness, irresistible, looks, endowed, looked",She admires his stunning features and irresistible looks in a luxurious hotel suite.,False
Admiring Intelligence,1.0,0.0036773383738673117,2.0173902670826984,233,"loved, liked, adored, attractive, proud, intelligent, looked, excellent, pieces, stunning",He admired her intelligence as they discussed their shared interests over dinner.,False
Admiring Qualities,0.9891304347826086,0.0022393955705028203,1.6733423835254388,161,"liked, likes, hea, really, aggressively, actor, nicest, qualities, enjoy, intelligent",He admires her excellent qualities in the kitchen.,False
Adorable Nephew And Schnoodle,0.9347826086956522,0.0021202158530543233,2.1805242277980756,362,"adorable, cutest, nephew, cutes, absolutely, schnoodle, easter, whitea, beinga, incredibly","The couple coos over their adorable nephew and his schnoodle, finding them absolutely adorable.",False
Adrenaline-fueled Racing,0.5,0.0012391893989279511,4.263571593307288,313,"race, frowns, begins, starts, racing, brace, races, deluge, prebuyers, thoroughbred",The couple's hearts race as they watch thoroughbreds compete in a thrilling race.,False
Adrenaline-fueled game,0.967391304347826,0.004280917501631045,3.010720829147899,19,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, beating",She feels her heart race and stomach flutter as he traces her veins with his fingers during intense foreplay.,False
Age Gap Roleplay,0.967391304347826,0.001959938906947736,10.577653566082983,244,"cordless, drill, didn, accomplished, reassuring, results, oldest, strides, homebody, maybach","Gage, the older man, assumes a paternal role with Haven, intervening on her behalf and remembering details about people they meet.",False
Anger Management In Relationship,1.0,0.003760310583220182,1.6041141645305292,94,"anger, rage, simmering, blood, frustration, enraged, temper, veins, boiled, surges",The couple struggles with managing their anger towards each other during an argument.,False
