Topic,Count,Name,Representation,n_pos_words,pos_words,coherence_c_v_pos,flag_small,flag_few_pos,flag_low_coh,noise_reason,noise_candidate,inspection_label
182,291,182_tough_umma_jerky_battle,"['tough', 'umma', 'jerky', 'battle', 'dig', 'cheeks', 'theya', 'talk', 'getting', 'ita', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2.0,"['tough', 'cheeks']",0.34540426288423176,False,True,False,few_pos<3,True,[NOISE_CANDIDATE:few_pos<3] 182_tough_umma_jerky_battle
347,150,347_yessss___,"['yessss', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1.0,['yessss'],1.0,False,True,False,few_pos<3,True,[NOISE_CANDIDATE:few_pos<3] 347_yessss___
262,204,262_imply_clever_honestly_gives,"['imply', 'clever', 'honestly', 'gives', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1.0,['clever'],1.0,False,True,False,few_pos<3,True,[NOISE_CANDIDATE:few_pos<3] 262_imply_clever_honestly_gives
241,220,241_okaya_wella_arranged_start,"['okaya', 'wella', 'arranged', 'start', 'yeah', 'let', 'ita', 'ia', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1.0,['start'],1.0,False,True,False,few_pos<3,True,[NOISE_CANDIDATE:few_pos<3] 241_okaya_wella_arranged_start
183,290,183_division_stick_excuse_probably,"['division', 'stick', 'excuse', 'probably', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1.0,['division'],1.0,False,True,False,few_pos<3,True,[NOISE_CANDIDATE:few_pos<3] 183_division_stick_excuse_probably
141,360,141_rush___,"['rush', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1.0,['rush'],1.0,False,True,False,few_pos<3,True,[NOISE_CANDIDATE:few_pos<3] 141_rush___
359,146,359_pun_th_intended_declare,"['pun', 'th', 'intended', 'declare', 'entitled', 'speaking', 'told', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 359_pun_th_intended_declare
283,188,283_ina___,"['ina', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 283_ina___
224,245,224____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 224____
186,286,186____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 186____
132,376,132____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 132____
18,2062,18____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 18____
17,2064,17____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 17____
