topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
33,"business, company, dollars, pay, job, million, thousand, paid, investment, cost",27,"['business', 'company', 'dollars', 'pay', 'job', 'million', 'thousand', 'paid', 'investment', 'cost', 'profit', 'paycheck', 'billion', 'income', 'bank', 'buy', 'companies', 'lot', 'dollar', 'moneya', 'account', 'arrangement', 'deal', 'bucks', 'paying', 'companya', 'transaction']",Business Discussion,The couple discusses business matters at the dinner table.,"domestic_life, work_or_school","setting:dinner_table, activity:discussion",False,"The top keywords 'business', 'company', and 'job' indicate a business context. The snippets show a conversation happening, likely at a dinner table, as suggested by the phrase 'âyour new business.â he deflated.'",6.1,Hero's Elite Work & Business World,"Work, Wealth, Status & Institutions",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on the hero's business world, which is not directly related to the heroine–hero relationship. It does not primarily realise any of Radway's 13 functions."
60,"bossa, ceos, employee, bosses, board, company, manager, job, hea, youa",27,"['bossa', 'ceos', 'employee', 'bosses', 'board', 'company', 'manager', 'job', 'hea', 'youa', 'chief', 'rule', 'technically', 'appoint', 'work', 'secretary', 'national', 'paints', 'position', 'role', 'appointed', 'employees', 'operations', 'leader', 'dictator', 'bossman', 'description']",Boss's Boss Interaction,The employee interacts with their boss's boss in a professional setting.,"work_or_school, relationship_conflict","setting:office, activity:discussion",False,"The top keywords 'ceos', 'employee', 'bosses', 'board', 'company' indicate a business context. The snippets mention interactions with the boss's boss, suggesting a professional relationship dynamic. The label and scene summary reflect this, with primary categories of 'work_or_school' and 'relationship_conflict'.",6.1,Hero's Elite Work & Business World,"Work, Wealth, Status & Institutions",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on work hierarchy and professional relationships, not the heroine–hero romance arc. The Stage 2 taxonomy confirms this, placing the topic under 'Hero's Elite Work & Business World'."
86,"york, rent, lease, city, rental, pay, live, monthly, renting, montha",27,"['york', 'rent', 'lease', 'city', 'rental', 'pay', 'live', 'monthly', 'renting', 'montha', 'landlord', 'week', 'orleans', 'yorker', 'moved', 'chicago', 'space', 'moving', 'lived', 'paying', 'month', 'place', 'credit', 'midtown', 'established', 'nyc', 'angeles']",City Apartment Lease Negotiation,"The couple sits around a table in their New York City rental, discussing the terms of their lease with their landlord.","domestic_life, work_or_school","setting:city, setting:apartment, activity:negotiating",False,"The top keywords 'rent', 'lease', 'city', 'monthly', and 'landlord' indicate a focus on apartment leasing. The snippets confirm this, showing conversations about New York City rentals and lease terms.",6.4,"Money, Housing & Economic Security","Work, Wealth, Status & Institutions",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on the location 'New York', which is a setting rather than a narrative function in the heroine–hero romance arc. It does not primarily realise any of Radway's 13 functions."
90,"hospital, surgeon, surgery, doctors, trauma, doctora, medical, appointment, er, clinic",27,"['hospital', 'surgeon', 'surgery', 'doctors', 'trauma', 'doctora', 'medical', 'appointment', 'er', 'clinic', 'operating', 'specialist', 'patients', 'hospitals', 'nurses', 'tests', 'attending', 'anesthesiologist', 'visit', 'spoke', 'personnel', 'paged', 'physician', 'consult', 'room', 'results', 'scrubs']",Medical Appointment At Hospital,"The couple finds themselves in the hospital, discussing their medical appointment.","domestic_life, social_setting","setting:hospital, activity:discussion",False,"The top keywords 'hospital', 'appointment', and 'medical' indicate a medical setting. The snippets confirm this, with 'in the hospital' and 'i see it all the time at the hospital' suggesting a scene at a hospital. The label 'Medical Appointment At Hospital' reflects this, and the primary categories 'domestic_life' and 'social_setting' are chosen because the scene involves a couple discussing their medical appointment, which is a part of their daily life and occurs in a social setting.",6.5,"Law, Medicine, Education & Formal Institutions","Work, Wealth, Status & Institutions",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets indicate that this topic is about the heroine's work environment, specifically a hospital. It does not primarily realise any of Radway's 13 functions in the heroine–hero romance arc."
95,"harpera, spoke, worlds, asked, spending, personal, client, consult, consolidate, fib",27,"['harpera', 'spoke', 'worlds', 'asked', 'spending', 'personal', 'client', 'consult', 'consolidate', 'fib', 'work', 'daughtera', 'helped', 'revised', 'trauma', 'dissolve', 'collide', 'tyrant', 'evening', 'best', 'called', 'months', 'tell', 'saving', 'presenting', 'daughter', 'pitch']",Work-related Evening Call,She makes a work-related call in the evening.,"domestic_life, work_or_school","setting:evening, activity:calling",False,"The top keyword 'evening' and snippet 'harperâs gone to call him.' indicate a typical evening scene. The keyword 'work' suggests a work-related activity, which is further supported by the snippet 'of course harperâs going to make it.' The label and categories reflect this specific, non-sexual scene.",6.4,"Money, Housing & Economic Security","Work, Wealth, Status & Institutions",,,,medium,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic's keywords and representative snippets focus on a character named Harper, but do not mention the heroine or hero, or any romantic interaction. The Stage 2 taxonomy places it under 'Money, Housing & Economic Security', further indicating it's not part of the heroine–hero narrative arc."
109,"wealthy, richest, millionaire, eligible, billionairea, wealthiest, wealth, worlda, billion, world",27,"['wealthy', 'richest', 'millionaire', 'eligible', 'billionairea', 'wealthiest', 'wealth', 'worlda', 'billion', 'world', 'businessman', 'male', 'dollar', 'net', 'envied', 'bachelor', 'businessmen', 'article', 'spoiled', 'lifestyle', 'folks', 'cocky', 'planet', 'royalty', 'leslienorthbooks', 'overachieving', 'lifestyles']",Wealthy Businessman's Lifestyle,The wealthy businessman discusses business deals over dinner at an upscale restaurant.,"social_setting, romance_core","setting:restaurant, activity:discussing_business",False,"The top keywords 'wealthy', 'businessman', and 'world' indicate a focus on the businessman's lifestyle. The snippets mention dinner and business discussions, supporting the 'social_setting' and 'romance_core' categories.",6.1,Hero's Elite Work & Business World,"Work, Wealth, Status & Institutions",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on wealth and status, which are not central to the heroine–hero relationship arc. They do not primarily realise any of Radway's 13 functions."
118,"holta, donovana, doesna, zullya, addressing, lets, publicity, finds, knows, forthcoming",27,"['holta', 'donovana', 'doesna', 'zullya', 'addressing', 'lets', 'publicity', 'finds', 'knows', 'forthcoming', 'horsea', 'gives', 'deal', 'turns', 'escorting', 'coaching', 'michaela', 'hea', 'presumably', 'position', 'impression', 'steelea', 'realize', 'isna', 'rarely', 'board', 'antics']",Boardroom Negotiation,"The couple sits across from each other at a boardroom table, discussing a business deal.","romance_core, work_or_school","setting:boardroom, activity:negotiating",False,"The top keywords 'board', 'deal', and 'position' indicate a business negotiation setting. The snippets confirm this, with 'Holtâs arm' referring to a position at the board and '[NAME] recalls the first time he met holtâs father, [NAME].', suggesting a business or work context.",6.1,Hero's Elite Work & Business World,"Work, Wealth, Status & Institutions",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on the hero's work and family background, which is peripheral to the heroine–hero relationship. It does not primarily realise any of Radway's 13 functions."
151,"leta, shall, suggested, leave, says, talk, walk, outside, trickle, technique",27,"['leta', 'shall', 'suggested', 'leave', 'says', 'talk', 'walk', 'outside', 'trickle', 'technique', 'deal', 'strategy', 'cool', 'auction', 'straight', 'just', 'handled', 'hypotheticals', 'wantina', 'training', 'suspend', 'aids', 'levvetora', 'say', 'lecturer', 'preconceived', 'tennessee']",Negotiating Business Deal,"The couple sits around a table, discussing strategies and terms for a business deal.","domestic_life, work_or_school","setting:table, activity:discussing",False,"The keywords 'deal', 'strategy', 'negotiating', and 'auction' indicate a business context. The snippets show characters discussing and making decisions, which supports the 'domestic_life' and 'work_or_school' categories.",6.1,Hero's Elite Work & Business World,"Work, Wealth, Status & Institutions",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets ('leta's go') do not contain any romantic or relationship-related content, and the Stage 2 taxonomy places it in the 'Hero's Elite Work & Business World'. Therefore, this topic does not primarily realise any of Radway's 13 functions and is best classified as 'none of the above'."
187,"plan, plans, work, united, conditions, figure, suited, states, planning, bantered",27,"['plan', 'plans', 'work', 'united', 'conditions', 'figure', 'suited', 'states', 'planning', 'bantered', 'arena', 'natyaa', 'pledged', 'hardball', 'reconsidered', 'feasible', 'successor', 'action', 'ohhhh', 'bide', 'politicians', 'envision', 'ahhh', 'plural', 'earnestly', 'form', 'affecting']",Political Planning Session,"Politicians gather around a table, discussing feasible action plans and conditions.","domestic_life, work_or_school","setting:table, activity:planning",False,"The top keywords 'plan', 'plans', 'conditions', 'planning', and 'action' indicate a focus on strategic decision-making. The snippets confirm this, showing characters engaged in planning and discussing conditions.",6.1,Hero's Elite Work & Business World,"Work, Wealth, Status & Institutions",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets do not contain any direct references to the heroine, hero, or their relationship. The Stage 2 taxonomy places the topic in the 'Hero's Elite Work & Business World', indicating a focus on the hero's work life rather than the romantic narrative."
191,"eddiea, wasn, onboarding, didn, couldn, blinked, mitchella, meeting, complied, karaoke",27,"['eddiea', 'wasn', 'onboarding', 'didn', 'couldn', 'blinked', 'mitchella', 'meeting', 'complied', 'karaoke', 'concluded', 'grinned', 'client', 'privately', 'remark', 'receiving', 'approved', 'unexpectedly', 'agreed', 'clapped', 'ear', 'shouldn', 'exclaimed', 'appreciate', 'orbiting', 'ddie', 'gamely']",Business Meeting With Client,"Eddie meets with a client in an office, discussing business and his role in the company.","romance_core, work_or_school","setting:office, activity:discussing_business",False,The top keyword 'meeting' and the snippets mentioning 'eddieâs role in the company' indicate a business meeting. The keyword 'client' and the office setting in the snippets support this label and categories.,6.1,Hero's Elite Work & Business World,"Work, Wealth, Status & Institutions",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on Eddie's professional life and status, with no direct reference to the heroine or the romantic relationship. The Stage 2 taxonomy also places it under 'Hero's Elite Work & Business World', further emphasizing its non-central role in the heroine-hero narrative arc."
