Topic ID,Keywords,mistralai/mistral-nemo Label,x-ai/grok-4.1-fast Label
0,"means, idea, promise, work, help, better, true, deal, today, game",Promise and Deal Discussion,Promise and Deal Negotiation
1,"hips, tongue, breasts, mouth, body, arms, neck, thighs, nipples, hand",Intimate Breast and Tongue Play,Tongue Kissing Breast Gripping
2,"clit, pussy, tongue, hips, legs, mouth, neck, lip, lower, thighs",Clitoral Foreplay With Tongue,Tongue on Clit
3,"dinner, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert, hungry",Dinner Invitations,Dinner Invitations
4,"way, years, matter, things, able, relationship, place, thing, feelings, kind",Unseen Relationship Behavior,First Romantic Behaviors Observed
5,"week, years, job, fallen, days, times, months, able, things, different",Time Passing In Relationship,Gone Back to Ex-fiancé
6,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, cup, drinks",Wine Sipping and Drinking,Sipping Wine From Glasses
7,"problem, deal, idea, point, luck, choice, true, fault, necessary, need",Problematic Decision Making,Defensive Denials and Excuses
8,"wrong, thought, able, feelings, course, control, choice, things, deal, words",Unwanted Feelings of Doubt,Relationship Doubts And Reluctance
9,"married, wedding, marriage, divorce, divorced, ceremony, planner, arranged, honeymoon, planning",Marriage Ceremony Planning,Marriage Status Conversations
10,"door, doors, knock, hallway, stairs, elevators, floor, lock, button, lobby",Hallway Doorways and Knocking,Doors Hallways Stairs Elevators
11,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",Wine Sipping in Kitchen,Wine Serving and Sipping
12,"kisses, tongue, mouth, neck, leans, lip, soft, lower, tender, forehead",Tender Forehead Kisses,Soft Tongue Neck Kisses
13,"smile, laugh, laughs, grin, eyebrows, giggles, laughter, small, eyebrow, bright",Playful Smiling,Playful Smiles and Laughter
14,"smile, smiles, grin, grins, laughter, gleam, corners, crooked, genuine, mouth",Playful Smiles and Grins,Smiles at Him
15,"clit, hips, pussy, legs, thighs, erection, waist, thigh, panties, hand",Clitoral Foreplay Between Thighs,Clitoral Stimulation By Hand Tongue
16,"parents, older, fathers, children, kids, grandson, years, uncles, youngest, dads",Fathers and Sons,Parents Fathers Children References
19,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, tingle",Adrenaline-fueled Foreplay,Churning Stomach and Pounding Heart
20,"gaze, stare, stares, eye, features, glare, expression, brows, head, attention",Eye Contact and Gazing,Meeting Each Other's Gaze
21,"car, driver, parking, cars, driveway, suv, curb, cab, drive, vehicle",Car Travel and Parking,Car Parking And Driving
22,"control, thought, thing, prepared, choice, deal, wrong, problem, way, effort",Refusing to Comply,Dislike and Indifference Expressions
23,"board, mug, arm, chair, hand, lodge, table, tone, room, position",Board Game Foreplay,Lodge Room Conversations
24,"rings, buzzes, pocket, screen, cellphone, nightstand, message, purse, phones, vibrates",Phone Vibrations and Alerts,Phone Buzzing in Pocket
25,"smile, laugh, laughter, grin, burst, forced, lip, loud, goofy, cheeks",Playful Smiles and Grins,Smiles and Grins
26,"tonight, night, evening, nights, stand, nighttime, fun, different, best, middle",Nighttime Fun Plans,Suggesting Outing Tonight
27,"door, doors, car, stairs, purse, hall, button, elevators, lock, knob",Doorway Transitions,Opening House and Car Doors
28,"complication, choice, guacamole, mind, things, matter, material, question, fact, invitation",Declining Invitations,Blunt Denials and Dismissals
29,"minutes, weeks, months, days, week, hours, years, month, seconds, hour",Time Units and Duration,Time Duration References
30,"game, hockey, puck, players, games, player, teams, goalie, goal, baseball",Sports Game Play,Hockey Game Moments
31,"clothes, outfit, wardrobe, clothing, outfits, tomorrow, selling, different, fashion, compatible",Tomorrow's Outfit Selection,Clothes Outfits and Wardrobe
