topic_id,keywords,num_keywords,label,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
0,"ita, ia, need, say, want, going, dona, means, think, idea",27,0_ita_ia_need_say,4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),,,,medium,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around hidden information and misunderstandings, which often lead to conflict and antagonism between the hero and heroine in Phase I of the romance narrative. The snippets suggest a tense exchange, with the heroine pushing back against the hero's advances, fitting R2."
1,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",27,1_kissed_hips_tongue_breasts,2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main_category of 'Explicit Sexual Acts' and the representative snippets describing kisses and oral sex indicate that this topic primarily realizes Radway's function R12, where the heroine responds sexually and emotionally to the hero."
2,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",27,2_clit_pussy_tongue_hips,2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets explicitly describe sexual acts, including oral sex and penetration, which align with Radway's function R12. The main taxonomy ID of 2.3 further confirms this, as it falls under 'Explicit Sexual Acts'."
3,"dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert",27,3_dinner_eat_food_lunch,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around dinner invitations, a common setting for tender moments and emotional connection in romance narratives. This aligns with Radway's function R8, where the hero treats the heroine tenderly, offering care and protection."
4,"seen, felt, ia, wanted, hea, experienced, loved, dated, thought, told",27,4_seen_felt_ia_wanted,4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around secrets and hidden information, suggesting a separation or distance between the hero and heroine. The keywords 'never seen' imply a lack of familiarity or shared history, which is characteristic of Phase I separation. There are no clear signs of tenderness, recognition, or commitment, so it's not fitting for Phase II or III."
5,"gone, gotten, given, week, trying, years, learned, seen, maybe, hea",27,5_gone_gotten_given_week,3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around the heroine's departure, leaving the heroine–hero relationship in limbo. This aligns with R7, as the couple is physically or emotionally separated. The snippets 'sheâs gone' and 'maybe sheâs gone back to her ex-fiancã©' suggest a break or separation, not just an argument or emotional withdrawal."
6,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",27,6_wine_sip_bottle_drunk,5.2,Friends & Social Circles,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on the heroine's actions with wine, which do not directly relate to the heroine–hero relationship or any of Radway's 13 functions. The Stage 2 taxonomy group 'Friends & Social Circles' further supports that this topic is about the heroine's social world outside the couple, not the core romance narrative."
7,"didn, won, therea, doesn, aren, thata, isn, mattered, shouldn, problem",27,7_didn_won_therea_doesn,4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around secrets and misunderstandings, which often lead to separation or distance between the hero and heroine. The snippets suggest a lack of communication and understanding, which is typical of Phase I in Radway's functions."
8,"didna, didn, hadna, couldna, wasna, wanted, wasn, wouldna, knew, blame",27,8_didna_didn_hadna_couldna,3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and representative snippets ('she didnat understand.', 'what if she didnat like him?', 'she really didn't want to do this.') suggest the heroine is reacting antagonistically to the hero, expressing her uncertainty or dislike, which aligns with Radway's R2 function."
9,"married, wedding, marriage, marry, divorce, marrying, divorced, engaged, getting, ceremony",27,9_married_wedding_marriage_marry,4.5,"Reconciliation, Commitments & HEA",Relationship Trajectory (Main Couple),8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",high,False,R13,Heroine's identity is restored,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets all revolve around the concept of marriage, which is a clear indicator of the heroine's identity being restored (R13) in the heroine–hero romance arc. The main taxonomy ID of 4.5 further supports this, as it falls under 'Reconciliation, Commitments & HEA'."
