composite_key,composite_name,taxonomy_ids,has_regex,semantic_mode,fallback_mode,tier_used,global_fallback_allowed,global_fallback_used,min_topics,n_after_taxonomy,n_after_semantics,n_after_quality,n_after_semantics_used,n_after_quality_used,final_n,note,book_coverage_frac,alpha,omega_total,pca_pc1,pca_pc2,stability_leave_one_out,stability_split_half,mean_intertopic_corr,stability_boot_to_full,measure_type,status_core,dimensionality,recommended_score
R2_alpha_guarding,R2) Alpha Guarding,"3.3,4.4",True,strict,none,strict,False,False,4,64,9,6,9,6,6,possessive protective aggression (alpha guarding),1.0,0.3685971515136093,0.6977378385543255,0.5508118618543204,0.1678433527956038,0.9418316940940493,0.2539636378113801,0.11003836066991626,0.7790696785005625,COMPOSITE,CORE,UNIDIMENSIONAL,sum
Q_repair,Q) Repair & Reconciliation,"4.5,4.2,3.1",True,strict,none,strict,False,False,4,86,7,7,7,7,7,"apologies, forgiveness, reconciliation",1.0,0.16775655075977197,0.7023651043907009,0.373793410737347,0.2701658135915089,0.9376072246686954,0.10321756153757573,0.04915514318172769,0.7760262203407714,COMPOSITE,CORE,UNIDIMENSIONAL,sum
M_health_recovery_growth,M) Health / Recovery / Growth,"6.5,4.2",True,strict,none,strict,True,False,3,73,8,8,8,8,8,healing & protective caretaking (RELAXED),1.0,-0.5433955716774107,0.5649149977837762,0.37545508020017465,0.27459024629974765,0.902715310018527,-0.22346876177193523,-0.043874658993546416,0.6033057193819643,COMPOSITE,CORE,UNIDIMENSIONAL,sum
I_humor_lightness,I) Humor / Lightness,"3.1,4.2,2.2",True,strict,none,strict,True,False,6,103,11,9,11,9,9,comic relief / breezy tone proxies,1.0,0.03552440787686689,0.6766179748355019,0.40152319158183647,0.16440396255218645,0.9428893744239176,0.022840269195960872,0.007744315172509657,0.7332738900661966,COMPOSITE,CORE,UNIDIMENSIONAL,sum
Q_miscommunication,Q) Miscommunication & Conflict,"4.1,4.3",True,strict,none,strict,False,False,6,21,9,9,9,9,9,"secrets, misunderstandings, conflict",1.0,-0.11536419228251873,0.651777387804509,0.5930712661761219,0.1684551720771141,0.9297881691708335,-0.06215999103956347,0.024107478208190924,0.6738497660773798,COMPOSITE,CORE,UNIDIMENSIONAL,sum
A2_emotional_safety,A2) Emotional Safety & Reassurance,3.1,True,relaxed,within_taxonomy,relaxed,False,False,5,12,2,2,12,12,12,safety/trust/comfort affect,1.0,0.6155720146922414,0.7773817857208525,0.2969640272090861,0.19316220723664718,0.9835598827114166,0.4670307333595437,0.15768007832599812,0.8512503437288145,COMPOSITE,CORE,MULTIDIMENSIONAL,pc1
L_vices_addictions,L) Vices / Addictions,"6.2,6.3,3.2",True,strict,none,global_tight,True,True,3,39,0,0,16,14,14,substance use & self-destructive risk (RELAXED),1.0,-0.2590953435517674,0.7657865943651153,0.4516230169828796,0.2747642661461505,0.9519919838707004,-0.11131101307010634,0.0032902382161295787,0.6475800337870428,COMPOSITE,CORE,UNIDIMENSIONAL,sum
K_professional_intrusion,K) Professional Intrusion,"6.1,6.2,6.3,6.5",True,strict,none,strict,False,False,6,21,19,16,19,16,16,workplace and institutional texture,1.0,0.40899341950519774,0.7589682729051368,0.3411395096207657,0.14875615635577116,0.9810951004117665,0.2709391261219914,0.07323593060614669,0.7945212985377773,COMPOSITE,CORE,UNIDIMENSIONAL,sum
C_explicit_eroticism,C) Explicit Eroticism,2.3,False,strict,none,strict,False,False,8,19,19,19,19,19,19,explicit sexual act language (heterogeneous by design — use in ratios),1.0,-0.6969017347607526,0.8725589303659791,0.7965071833294476,0.12751529237417822,0.9502356953936868,-0.2215586156894579,0.03425091650879834,0.5991195956152687,COMPOSITE,CORE,UNIDIMENSIONAL,sum
S_scene_anchors,S) Scene Anchors (Setting-Rich),"5.3,8.1,8.2",False,strict,none,strict,False,False,8,26,26,24,26,24,24,setting/objects/time/atmosphere topics (for qualitative sampling),1.0,0.38052667694207437,0.8749043755340759,0.4378539259972923,0.2508299394400698,0.9873527302795663,0.2968208766300028,0.030981254351557675,0.7956704773343436,COMPOSITE,CORE,UNIDIMENSIONAL,sum
J_social_support_kin,J) Social Support / Kin,"4.3,4.4,4.5,5.1",True,strict,none,strict,False,False,8,103,32,26,32,26,26,stable social buffering around couple,1.0,-0.02236980286876964,0.7882665031945519,0.31288805377303,0.19132471255798575,0.9796688688489049,-0.0038292841344171012,0.015775795932192867,0.6993891467639713,COMPOSITE,CORE,UNIDIMENSIONAL,sum
B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,"2.1,2.2",False,strict,none,strict,False,False,8,34,34,29,34,29,29,sexual tension + kissing (pre-coital intimacy),1.0,0.6231187435635026,0.9053114504846459,0.3697681575978624,0.17024752606199012,0.9944710699500836,0.5081776960506791,0.09758701536339152,0.8613952673747204,COMPOSITE,CORE,UNIDIMENSIONAL,sum
D_power_wealth_luxury,D) Power / Wealth / Luxury,"5.2,5.3,5.1",False,strict,none,strict,False,False,10,34,34,30,34,30,30,billionaire-world saturation,1.0,0.01807560451043631,0.7488146351005869,0.25616391459630355,0.16534885579405129,0.9834157660870665,0.01125871220670664,0.02734894545959577,0.7047184539922077,COMPOSITE,CORE,MULTIDIMENSIONAL,pc1
F2_anger_frustration,F2) Anger & Frustration,"3.2,3.3",True,relaxed,within_taxonomy,relaxed,False,False,5,39,2,2,34,31,31,anger/resentment affect,1.0,-0.8062252092320399,0.8653208040962264,0.7320987696398347,0.16728986511176877,0.9690452921393254,-0.33539411362671556,0.07359164293661857,0.5267386263743952,COMPOSITE,CORE,UNIDIMENSIONAL,sum
F3_anxiety_worry,F3) Anxiety & Worry,"3.2,3.4",True,relaxed,within_taxonomy,relaxed,False,False,5,42,2,2,38,36,36,anxiety/worry affect,1.0,-0.6317597863764892,0.8534126106912518,0.713990365381299,0.16498931056503363,0.9751962349004007,-0.29601767457051104,0.06117759866334892,0.4865922623771584,COMPOSITE,CORE,UNIDIMENSIONAL,sum
R1_protective_caretaking,R1) Protective Caretaking,"3.1,4.2",True,relaxed,within_taxonomy,relaxed,False,False,5,83,2,2,80,75,75,tender protective care (nurturing caretaking),1.0,-0.15241739989443526,0.9165733039179542,0.3838586411787009,0.17360598471938857,0.9920923498872743,-0.07040692721308695,0.04925552818321321,0.6693312976784176,COMPOSITE,CORE,UNIDIMENSIONAL,sum
H_domestic_nesting,H) Domestic Nesting (Home-as-Refuge),"4.2,5.2,8.1",False,strict,none,strict,False,False,10,94,94,88,94,88,88,nest-building and everyday shared life,1.0,-0.24763331794680513,0.9251513681035245,0.28293056138609485,0.13055428417267748,0.9928349084715944,-0.0950451771715975,0.032862663040985084,0.6733032421464751,COMPOSITE,CORE,MULTIDIMENSIONAL,pc1
A1_commitment_vows,A1) Commitment & Vows,4.5,True,relaxed,within_taxonomy,relaxed,False,False,5,3,1,1,3,3,3,explicit commitment language (HEA/marriage plot),0.9891304347826086,0.24284933350768856,0.7122152017488333,0.9248211463610784,0.06928196224954913,0.8465605837633419,,0.17823798605659014,,COMPOSITE,EXPLORATORY,UNIDIMENSIONAL,sum
G_courtship_rituals_gifts,G) Courtship Rituals / Gifts,"5.3,8.1,8.2",True,strict,none,strict,True,False,3,26,3,3,3,3,3,ritualized romance behaviors (RELAXED — broader pattern),0.9891304347826086,-0.050360238601280916,0.6226877445462184,0.9430049345726329,0.04332732356006152,0.7149804420515871,,-0.059920279413446936,,COMPOSITE,EXPLORATORY,UNIDIMENSIONAL,sum
A3_everyday_tenderness,A3) Everyday Tenderness,4.2,True,strict,none,strict,False,False,6,71,5,4,5,4,4,daily affectionate bonding (non-formal),1.0,-0.28649276437900123,0.6058472070636352,0.534743986189474,0.38813939193490027,0.825241007443236,-0.12994197979262154,-0.06575367722531017,0.6274011248562078,COMPOSITE,EXPLORATORY,UNIDIMENSIONAL,sum
F1_sadness_grief,F1) Sadness & Grief,3.2,True,strict,none,strict,False,False,4,36,4,4,4,4,4,sadness affect cluster,1.0,-1.9214663057115686,0.890638966430139,0.86184342615382,0.0727240899097019,0.7127228421913538,-0.5411111080202144,-0.01910125822175157,0.4449009613366897,COMPOSITE,EXPLORATORY,UNIDIMENSIONAL,sum
R_jealousy_possessiveness,R) Jealousy & Possessiveness,"3.3,4.4",True,strict,none,strict,False,False,4,64,6,4,6,4,4,jealous/possessive conflict (kept for H4 hypothesis continuity),0.9891304347826086,0.21350557651848545,0.6806512289326693,0.6596117358599484,0.17287691882062767,0.8868579666669545,0.14593536563346268,0.050677685834294404,0.7285140764643646,COMPOSITE,EXPLORATORY,UNIDIMENSIONAL,sum
B2_emotional_intimacy,B2) Emotional Intimacy,"3.1,4.2",True,strict,none,strict,False,False,8,83,5,5,5,5,5,emotional closeness (non-physical),1.0,0.2173027045335993,0.6785573478236956,0.6851802288324813,0.19097536627022133,0.906091443708996,0.15132777955625368,0.1368029580783554,0.7953125313157963,COMPOSITE,EXPLORATORY,UNIDIMENSIONAL,sum
E_coercion_brutality_danger,E) Coercion / Brutality / Danger,"7.2,3.2",True,strict,none,strict,False,False,6,44,5,5,5,5,5,threat + coercion + traumatic texture,1.0,-0.8953313738925422,0.7981336621618057,0.7467511779280832,0.11368305591124914,0.8146092709841962,-0.3211864038832813,0.01730859545065432,0.6414351390704222,COMPOSITE,EXPLORATORY,UNIDIMENSIONAL,sum
N_separation_reunion,N) Separation / Reunion,"4.4,4.5",True,strict,none,strict,False,False,8,64,6,5,6,5,5,breakup → reunion arc,1.0,-0.05486780211357262,0.659661875043813,0.5944204371847105,0.2072938947842246,0.8797334844635574,-0.027230842700054225,0.05885926037040865,0.742728206624065,COMPOSITE,EXPLORATORY,UNIDIMENSIONAL,sum
O_aesthetics_appearance,O) Aesthetics / Appearance,"1.1,5.3",True,relaxed,within_taxonomy,relaxed,False,False,5,6,1,1,6,5,5,personal appearance & presentation,0.9891304347826086,0.10435251394101869,0.6089341453190783,0.6778020989592803,0.16881069035000593,0.8955189142517528,0.07794925143988236,0.03227001085740204,0.764825937794246,COMPOSITE,EXPLORATORY,UNIDIMENSIONAL,sum
