topic_id,keywords,num_keywords,label,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
0,"ita, ia, need, say, want, going, dona, means, think, idea",27,0_ita_ia_need_say,6.1,Hero's Elite Work & Business World,"Work, Wealth, Status & Institutions",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),medium,False,none,None of the above,,NA,Not a narrative function,True,high,"This topic lacks keywords and has no label or scene summary, indicating it's not a well-defined topic. Its Stage 1 categories are empty, and its Stage 2 taxonomy groups it under 'Hero's Elite Work & Business World' and 'Bonding, Everyday Intimacy & Growth', but the snippets don't clearly relate to any specific Radway function. Therefore, it doesn't primarily realise any of Radway's 13 functions in the heroine–hero romance arc."
1,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",27,1_kissed_hips_tongue_breasts,2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's representative snippets all depict explicit sexual acts between the hero and heroine, which aligns with Radway's function R12 - Heroine responds sexually and emotionally. This phase is characterized by union scenes that combine erotic fulfillment and emotional acceptance, marking the commitment and restoration phase of the romance narrative."
2,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",27,2_clit_pussy_tongue_hips,2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"This topic's primary category, 'Explicit Sexual Acts', directly corresponds to Radway's R12, as it involves the heroine responding sexually and emotionally to the hero. The representative snippets illustrate explicit union scenes that combine erotic fulfilment and emotional acceptance, characteristic of Phase III in the romance narrative arc."
3,"dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert",27,3_dinner_eat_food_lunch,5.2,Friends & Social Circles,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets do not contain any direct references to the heroine or hero, their relationship, or any conflict, tenderness, or commitment. The Stage 2 taxonomy classification further supports this, as it falls under 'Friends & Social Circles', which is typically background material not central to the heroine–hero narrative arc."
4,"seen, felt, ia, wanted, hea, experienced, loved, dated, thought, told",27,4_seen_felt_ia_wanted,4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),3.3,Ambivalence & Internal Conflict,"Emotions, Cognition & Inner Life",medium,False,R3,Hero responds ambiguously to heroine,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around characters expressing surprise at unusual behaviour, suggesting mixed signals or ambiguity in the hero's actions. This aligns with R3 - Hero responds ambiguously to heroine, creating confusion and tension in Phase I of the narrative."
5,"gone, gotten, given, week, trying, years, learned, seen, maybe, hea",27,5_gone_gotten_given_week,3.3,Ambivalence & Internal Conflict,"Emotions, Cognition & Inner Life",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),high,False,R10,Heroine reinterprets hero's behaviour as result of previous hurt,,II,Turning Point & Recognition,False,medium,"The topic's keywords and representative snippets suggest the heroine is reflecting on her past, possibly reinterpreting her feelings or the hero's actions. This aligns with R10, where the heroine reinterprets the hero's behavior as a result of previous hurt, leading to a deeper understanding and empathy."
6,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",27,6_wine_sip_bottle_drunk,8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on a shared drink (wine) between two people, but lack any specific romantic, conflictual, or emotional content. This topic does not primarily realise any of Radway's functions and is better classified as 'none'."
7,"didn, won, therea, doesn, aren, thata, isn, mattered, shouldn, problem",27,7_didn_won_therea_doesn,4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),3.3,Ambivalence & Internal Conflict,"Emotions, Cognition & Inner Life",medium,False,R3,Hero responds ambiguously to heroine,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and representative snippets suggest a mix of denial, evasion, and uncertainty, which aligns with the hero responding ambiguously to the heroine (R3). The Stage 2 taxonomy group 'Relationship Trajectory (Main Couple)' and subcategory 'Ambivalence & Internal Conflict' further support this interpretation."
8,"didna, didn, hadna, couldna, wasna, wanted, wasn, wouldna, knew, blame",27,8_didna_didn_hadna_couldna,3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,medium,"The topic's representative snippets ('she didnat understand.', 'what if she didnat like him?', 'she really didn't want to do this.') suggest the heroine is reacting with uncertainty, reluctance, or even hostility towards the hero, fitting Radway's R2 function of reacting antagonistically to the hero."
9,"married, wedding, marriage, marry, divorce, marrying, divorced, engaged, getting, ceremony",27,9_married_wedding_marriage_marry,5.3,"Community, Norms & Social Events",Social World Outside Couple,4.1,"Meeting, First Impressions & Setup",Relationship Trajectory (Main Couple),high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and snippets focus on the heroine's marital status, which is not a primary driver of the heroine-hero narrative arc. It does not clearly realise any of Radway's functions."
