Topic ID,Keywords,mistralai/mistral-nemo:free Label,x-ai/grok-4.1-fast Label
0,"means, idea, promise, work, help, better, true, deal, today, game",means,Promise and Deal Negotiation
1,"hips, tongue, breasts, mouth, body, arms, neck, thighs, nipples, hand",hips,Tongue Kissing and Body Groping
2,"clit, pussy, tongue, hips, legs, mouth, neck, lip, lower, thighs",clit,Oral Clit Stimulation
3,"dinner, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert, hungry",dinner,Dinner Invitations
4,"way, years, matter, things, able, relationship, place, thing, feelings, kind",way,Never Seen Romantic Behaviors
5,"week, years, job, fallen, days, times, months, able, things, different",week,Gone Back to Ex-fiancé
6,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, cup, drinks",wine,Wine Sipping At Table
7,"problem, deal, idea, point, luck, choice, true, fault, necessary, need",problem,Denials of Fault and Need
8,"wrong, thought, able, feelings, course, control, choice, things, deal, words",wrong,Doubtful Reluctance And Hesitation
9,"married, wedding, marriage, divorce, divorced, ceremony, planner, arranged, honeymoon, planning",married,Marriage Status Revelations
10,"door, doors, knock, hallway, stairs, elevators, floor, lock, button, lobby",door,Front Door Access
11,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",wine,Wine Handling and Sipping
12,"kisses, tongue, mouth, neck, leans, lip, soft, lower, tender, forehead",kisses,Soft Kisses on Neck Lips
13,"smile, laugh, laughs, grin, eyebrows, giggles, laughter, small, eyebrow, bright",smile,Mutual Joyful Smiles
14,"smile, smiles, grin, grins, laughter, gleam, corners, crooked, genuine, mouth",smile,Smiles and Grins
15,"clit, hips, pussy, legs, thighs, erection, waist, thigh, panties, hand",clit,Clitoral Stimulation
16,"parents, older, fathers, children, kids, grandson, years, uncles, youngest, dads",parents,Parents and Fathers Discussions
19,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, tingle",stomach,Nervous Stomach and Pounding Heart
20,"gaze, stare, stares, eye, features, glare, expression, brows, head, attention",gaze,Mutual Gaze Meetings
21,"car, driver, parking, cars, driveway, suv, curb, cab, drive, vehicle",car,Car Parking and Driveways
22,"control, thought, thing, prepared, choice, deal, wrong, problem, way, effort",control,Negations of Liking and Caring
23,"board, mug, arm, chair, hand, lodge, table, tone, room, position",board,Lodge Room Conversations
24,"rings, buzzes, pocket, screen, cellphone, nightstand, message, purse, phones, vibrates",rings,Phone Buzzing in Pocket
25,"smile, laugh, laughter, grin, burst, forced, lip, loud, goofy, cheeks",smile,Smiles and Laughter
26,"tonight, night, evening, nights, stand, nighttime, fun, different, best, middle",tonight,Suggesting Going Out Tonight
27,"door, doors, car, stairs, purse, hall, button, elevators, lock, knob",door,Opening Doors and Car Doors
28,"complication, choice, guacamole, mind, things, matter, material, question, fact, invitation",complication,"Dismissive ""don't"" Statements"
29,"minutes, weeks, months, days, week, hours, years, month, seconds, hour",minutes,Time Durations in Minutes Hours
30,"game, hockey, puck, players, games, player, teams, goalie, goal, baseball",game,Hockey Games and Players
31,"clothes, outfit, wardrobe, clothing, outfits, tomorrow, selling, different, fashion, compatible",clothes,Clothes Outfits and Wardrobe
