composite_key,composite_name,n_topics,min_topics,status,taxonomy_ids,note
A1_commitment_vows,A1) Commitment & Vows,1,3,SPARSE (1 < 3 min),4.5,explicit commitment language (HEA/marriage plot)
A2_emotional_safety,A2) Emotional Safety & Reassurance,2,4,SPARSE (2 < 4 min),3.1,safety/trust/comfort affect
A3_everyday_tenderness,A3) Everyday Tenderness,5,6,SPARSE (5 < 6 min),4.2,daily affectionate bonding (non-formal)
B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,34,8,OK,"2.1,2.2",sexual tension + kissing (pre-coital intimacy)
B2_emotional_intimacy,B2) Emotional Intimacy,5,8,SPARSE (5 < 8 min),"3.1,4.2",emotional closeness (non-physical)
C_explicit_eroticism,C) Explicit Eroticism,19,8,OK,2.3,explicit sexual act language (heterogeneous by design — use in ratios)
D_power_wealth_luxury,D) Power / Wealth / Luxury,34,10,OK,"5.2,5.3,5.1",billionaire-world saturation
E_coercion_brutality_danger,E) Coercion / Brutality / Danger,5,6,SPARSE (5 < 6 min),"7.2,3.2",threat + coercion + traumatic texture
F1_sadness_grief,F1) Sadness & Grief,4,4,OK,3.2,sadness affect cluster
F2_anger_frustration,F2) Anger & Frustration,2,4,SPARSE (2 < 4 min),"3.2,3.3",anger/resentment affect
F3_anxiety_worry,F3) Anxiety & Worry,2,4,SPARSE (2 < 4 min),"3.2,3.4",anxiety/worry affect
G_courtship_rituals_gifts,G) Courtship Rituals / Gifts,3,3,OK,"5.3,8.1,8.2",ritualized romance behaviors (RELAXED — broader pattern)
L_vices_addictions,L) Vices / Addictions,16,3,OK,"6.2,6.3,3.2",substance use & self-destructive risk (RELAXED)
M_health_recovery_growth,M) Health / Recovery / Growth,8,3,OK,"6.5,4.2",healing & protective caretaking (RELAXED)
H_domestic_nesting,H) Domestic Nesting (Home-as-Refuge),94,10,OK,"4.2,5.2,8.1",nest-building and everyday shared life
I_humor_lightness,I) Humor / Lightness,11,6,OK,"3.1,4.2,2.2",comic relief / breezy tone proxies
J_social_support_kin,J) Social Support / Kin,32,8,OK,"4.3,4.4,4.5,5.1",stable social buffering around couple
K_professional_intrusion,K) Professional Intrusion,19,6,OK,"6.1,6.2,6.3,6.5",workplace and institutional texture
N_separation_reunion,N) Separation / Reunion,6,8,SPARSE (6 < 8 min),"4.4,4.5",breakup → reunion arc
O_aesthetics_appearance,O) Aesthetics / Appearance,1,4,SPARSE (1 < 4 min),"1.1,5.3",personal appearance & presentation
Q_miscommunication,Q) Miscommunication & Conflict,9,6,OK,"4.1,4.3","secrets, misunderstandings, conflict"
Q_repair,Q) Repair & Reconciliation,10,4,OK,"4.5,4.2,3.1","apologies, forgiveness, reconciliation"
R1_protective_caretaking,R1) Protective Caretaking,2,4,SPARSE (2 < 4 min),"3.1,4.2",tender protective care (nurturing caretaking)
R2_alpha_guarding,R2) Alpha Guarding,9,4,OK,"3.3,4.4",possessive protective aggression (alpha guarding)
R_jealousy_possessiveness,R) Jealousy & Possessiveness,6,4,OK,"3.3,4.4",jealous/possessive conflict (kept for H4 hypothesis continuity)
S_scene_anchors,S) Scene Anchors (Setting-Rich),26,8,OK,"5.3,8.1,8.2",setting/objects/time/atmosphere topics (for qualitative sampling)
