topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
6,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",27,"['wine', 'sip', 'bottle', 'drunk', 'whiskey', 'waiter', 'scotch', 'alcohol', 'drinking', 'poured', 'cup', 'drinks', 'sips', 'glasses', 'drank', 'pour', 'tea', 'mug', 'bar', 'liquor', 'table', 'vodka', 'tequila', 'took', 'beers', 'set', 'tray']",Wine-drinking At Table,"The couple sits at a table, sipping wine from their glasses.","social_setting, physical_affection","setting:table, activity:drinking_wine",False,"The top keywords 'wine', 'sip', 'bottle', and 'drunk' indicate a scene centered around drinking wine. The snippets show characters engaging in this activity at a table, supporting the label and chosen categories.",5.2,Friends & Social Circles,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on the heroine's actions with wine, which do not directly relate to the heroine–hero relationship or any of Radway's 13 functions. The Stage 2 taxonomy group 'Friends & Social Circles' further supports that this topic is about the heroine's social world outside the couple, not the core romance narrative."
16,"fathera, parents, died, dada, older, fathers, children, kids, grandson, hea",27,"['fathera', 'parents', 'died', 'dada', 'older', 'fathers', 'children', 'kids', 'grandson', 'hea', 'years', 'uncles', 'youngest', 'brothera', 'dads', 'nephew', 'age', 'didna', 'familya', 'grandpaa', 'passed', 'youa', 'tell', 'having', 'kind', 'wasna', 'want']",Intergenerational Family Bonding,"The youngest grandson sits with his older uncles, reminiscing about their fathers' shared history.","domestic_life, relationship_conflict","setting:home, activity:reminiscing",False,"The keywords 'parents', 'fathers', 'children', and 'years' indicate a focus on family history. The snippets show characters discussing and remembering their fathers, suggesting a scene of intergenerational bonding and shared memories.",5.1,Family & Kinship,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on the hero's family and past, not the heroine–hero relationship, so it does not primarily realise any of Radway's 13 functions."
44,"mothera, moma, stepmother, died, mamaa, moms, motherhood, telling, tell, traumatizing",27,"['mothera', 'moma', 'stepmother', 'died', 'mamaa', 'moms', 'motherhood', 'telling', 'tell', 'traumatizing', 'wouldna', 'jackass', 'calling', 'dealt', 'asked', 'proud', 'mammaa', 'youa', 'children', 'isna', 'adopting', 'ass', 'realizea', 'make', 'think', 'undivided', 'heard']",Mother-player Relationship Struggles,the player struggles with his mother's expectations and emotional state in their home.,"romance_core, relationship_conflict","setting:home, activity:arguing",False,"The keywords 'stepmother', 'moms', 'motherhood', and 'children' indicate a focus on the mother-son relationship. The snippets show a son dealing with his mother's emotional state and expectations, supporting the labels and categories chosen.",5.1,Family & Kinship,Social World Outside Couple,4.4,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),high,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around the heroine's mother, creating conflict and distance in the relationship. This is a common narrative function in Phase I, where the heroine and hero are separated or threatened by external factors."
49,"babysitter, babya, born, babysit, healthy, having, want, infant, raise, youa",27,"['babysitter', 'babya', 'born', 'babysit', 'healthy', 'having', 'want', 'infant', 'raise', 'youa', 'months', 'harming', 'need', 'thata', 'outsiders', 'dona', 'fetal', 'epidural', 'unprotected', 'inflated', 'coos', 'hold', 'raising', 'health', 'newborn', 'adopt', 'term']",Hiring A Babysitter,She realizes she needs a babysitter for her infant.,"domestic_life, social_setting","setting:home, activity:calling",False,"The top keyword 'babysitter' and snippet 'i need a babysitter.' indicate the main action. The keyword 'infant' and snippet '[NAME] just called' suggest the context is domestic life, with the setting being at home. The keyword 'outsiders' and snippet 'i had no idea what a babysitter would charge' imply a social setting, as she's dealing with an external service.",5.2,Friends & Social Circles,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets indicate that this topic is about finding a babysitter, which is a practical task related to the heroine's daily life but not directly tied to her relationship with the hero. It does not primarily realise any of Radway's 13 functions in the heroine–hero romance arc."
51,"maddiea, sama, karaa, clinic, answered, didn, tremulous, couldn, friend, sighed",27,"['maddiea', 'sama', 'karaa', 'clinic', 'answered', 'didn', 'tremulous', 'couldn', 'friend', 'sighed', 'wasn', 'sister', 'physician', 'rolled', 'results', 'unable', 'hugged', 'expression', 'smiled', 'knew', 'shamed', 'later', 'melted', 'released', 'wept', 'lost', 'wedged']",Emotional Support At Clinic,"She sat trembling in the clinic, her sister beside her, as they awaited the physician's results.","romance_core, relationship_conflict","setting:clinic, activity:awaiting_results",False,"The keywords 'clinic', 'tremulous', 'friend', 'sister', and 'results' indicate a medical setting with emotional tension. The snippets show a character awaiting news, supported by a sibling, which suggests emotional bonding and relationship conflict.",5.2,Friends & Social Circles,Social World Outside Couple,3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and snippets do not relate to the heroine–hero relationship, focusing instead on the heroine's interactions with her friend Maddie and her own internal thoughts. The Stage 2 taxonomy groups it under 'Friends & Social Circles' and 'Negative Emotions & Distress', further emphasizing its peripheral role in the romance narrative."
79,"daisya, rule, replies, grandmother, whispers, says, remya, needs, cries, freezes",27,"['daisya', 'rule', 'replies', 'grandmother', 'whispers', 'says', 'remya', 'needs', 'cries', 'freezes', 'staring', 'puts', 'wide', 'makes', 'asks', 'saucers', 'kansas', 'dicka', 'moment', 'passes', 'personality', 'swallows', 'appears', 'mutters', 'chairs', 'awesome', 'shrieks']",Grandmother's Tears,"The grandmother cries wide-eyed, muttering to herself in the kitchen chairs.","romance_core, domestic_life","setting:kitchen, activity:crying",False,"The top keywords 'grandmother', 'cries', 'wide', 'saucers', and 'moment' all point to a scene involving the grandmother crying. The snippets confirm this, with 'daisyâs not in the house.', 'daisyâ[NAME]youâre an idiot.', and 'but daisyâs eyes are still on me.' all describing the grandmother's emotional state.",5.1,Family & Kinship,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets do not contain any direct references to the heroine or hero, their relationship, or any narrative events involving them. The Stage 2 taxonomy classification of 'Family & Kinship (Social World Outside Couple)' further supports that this topic is not a central part of the heroine–hero romance arc."
81,"parents, children, kids, families, familya, aunts, uncles, parentsa, theya, grow",27,"['parents', 'children', 'kids', 'families', 'familya', 'aunts', 'uncles', 'parentsa', 'theya', 'grow', 'member', 'want', 'parent', 'raise', 'parenting', 'adopt', 'inherit', 'traditional', 'cousins', 'important', 'conceive', 'dona', 'stability', 'someday', 'raising', 'dada', 'relatives']",Family Discussion Around Table,"The family sits around the table, discussing their wants and needs.","domestic_life, relationship_conflict","setting:kitchen, activity:discussion",False,"The top keywords 'parents', 'children', 'kids', 'families', and 'want' indicate a family discussion. The snippets 'your parents?', 'what about your parents?', and 'my parents.' confirm this, showing the topic revolves around family conversations.",5.1,Family & Kinship,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on parents, indicating a topic about family and kinship, which is not a central narrative function in the heroine–hero romance arc."
93,"parents, apologies, died, sister, ex, dada, brogue, pleasure, woozy, daughter",27,"['parents', 'apologies', 'died', 'sister', 'ex', 'dada', 'brogue', 'pleasure', 'woozy', 'daughter', 'drama', 'shameless', 'moma', 'fault', 'acquisition', 'tough', 'ego', 'newest', 'grandson', 'clarified', 'world', 'filter', 'added', 'thoughts', 'flush', 'doesna', 'consultant']",Family Apologies And Reconciliation,"The family gathers around the table, with parents and siblings present, as apologies are exchanged and past faults are addressed.","domestic_life, relationship_conflict","setting:table, activity:apologizing",False,"The top keywords 'parents', 'apologies', 'sister', 'ex', and 'fault' indicate a family-focused scene centered around making amends. The snippets confirm this, showing conversations around a table with family members present.",5.1,Family & Kinship,Social World Outside Couple,4.5,"Reconciliation, Commitments & HEA",Relationship Trajectory (Main Couple),high,False,R13,Heroine's identity is restored,,III,Commitment & Restoration,False,medium,"The topic's main taxonomy category is 'Family & Kinship', which often signals a resolution or commitment phase in romance narratives. The secondary category 'Reconciliation, Commitments & HEA' further supports this. The snippets suggest a conversation about family backgrounds and an apology, which are common in the commitment and restoration phase of a romance."
98,"dantea, engagement, pudding, glinted, granite, excused, growled, parents, assault, warning",27,"['dantea', 'engagement', 'pudding', 'glinted', 'granite', 'excused', 'growled', 'parents', 'assault', 'warning', 'europe', 'conversation', 'ugliest', 'engaged', 'shut', 'kaia', 'di', 'discussed', 'pickles', 'fianca', 'woulda', 'hadna', 'shards', 'touched', 'topic', 'musta', 'arranged']",Parental Warning About Engagement,"Dante's parents warn him about his engagement, expressing their concerns.","relationship_conflict, domestic_life","setting:home, activity:warning",False,The top keyword 'engagement' and the snippets mentioning 'Dante's parents' and 'warning' indicate a scene where parents are expressing their concerns about their son's engagement.,5.1,Family & Kinship,Social World Outside Couple,4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on characters outside the main couple (Dante's mother, his butler), and the main taxonomy category is 'Family & Kinship (Social World Outside Couple)', indicating that this topic does not primarily realise any of Radway's 13 functions in the heroine–hero romance arc."
101,"gretchena, bronta, library, letter, letters, kleenex, headed, writer, gave, racked",27,"['gretchena', 'bronta', 'library', 'letter', 'letters', 'kleenex', 'headed', 'writer', 'gave', 'racked', 'sister', 'cheerfully', 'sighed', 'began', 'comebacks', 'acerbic', 'widened', 'bit', 'pert', 'tragic', 'raised', 'vibrant', 'likes', 'greenhouse', 'frowned', 'weeping', 'unable']",Sister's Tragic Letters,The writer reads his sister's tragic letters in the library.,"romance_core, relationship_conflict","setting:library, activity:reading",False,"The top keywords 'library', 'letters', and 'sister' indicate a scene centered around reading letters. The keyword 'tragic' suggests emotional content, leading to the 'romance_core' and 'relationship_conflict' primary categories. The scene summary reflects the most typical scenario implied by the keywords and snippets.",5.1,Family & Kinship,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic has no keywords, label, or scene summary, and it's not assigned any primary or secondary categories. It's not part of the 'Relationship Trajectory (Main Couple)' or 'Sexuality, Attraction & Intimacy' taxonomy groups, so it doesn't primarily realise any of Radway's 13 functions in the heroine–hero romance arc."
104,"kelseya, asks, says, pigeon, uh, helpful, sustainable, excited, cork, answers",27,"['kelseya', 'asks', 'says', 'pigeon', 'uh', 'helpful', 'sustainable', 'excited', 'cork', 'answers', 'indecent', 'think', 'pitiful', 'looks', 'absolutely', 'reverse', 'chimes', 'say', 'declined', 'sister', 'turns', 'type', 'claps', 'trying', 'beaming', 'shouts', 'thata']",Sister's Confusing Admissions,"Kelsea struggles to understand her sister's cryptic, emotional admissions.","relationship_conflict, domestic_life","setting:home, activity:confession",False,"The keywords 'sister', 'indecent', 'pitiful', and 'chimes' suggest a tense, emotional conversation. The snippets show Kelsea trying to make sense of her sister's unclear feelings, indicating a scene of relationship conflict within the home.",5.1,Family & Kinship,Social World Outside Couple,3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",medium,False,none,None of the above,,NA,Not a narrative function,True,high,"This topic lacks keywords, label, or scene summary, and its Stage 1 categories are empty. The Stage 2 taxonomy places it in 'Family & Kinship' and 'Negative Emotions & Distress', which are not central to the heroine–hero romance arc. The snippets do not suggest any clear narrative function between the heroine and hero."
113,"daphnea, audreya, drugs, curious, sister, shrugged, volunteer, continued, suspected, labela",27,"['daphnea', 'audreya', 'drugs', 'curious', 'sister', 'shrugged', 'volunteer', 'continued', 'suspected', 'labela', 'wiped', 'sad', 'gave', 'determined', 'irritably', 'skinny', 'incidents', 'clean', 'cigarette', 'tabloid', 'gone', 'relished', 'look', 'furious', 'staggered', 'troubled', 'sizes']",Sister's Drug Struggle,"The sister, determined to help, visits Daphne in her apartment.","relationship_conflict, domestic_life","setting:apartment, activity:visiting",False,"The keywords 'sister', 'drugs', and 'daphne' indicate a relationship focus. The snippets show the sister's determination to help Daphne, placing this topic in 'relationship_conflict' and 'domestic_life'. The setting is Daphne's apartment, as shown in the snippets.",5.1,Family & Kinship,Social World Outside Couple,,,,medium,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets indicate that this topic is about the heroine's relationship with her family or friends, not her romantic partner. It does not primarily realise any of Radway's 13 functions in the heroine–hero romance arc."
124,"viviana, shallowed, ante, returned, engagement, stunt, instances, cheeks, ex, flushed",27,"['viviana', 'shallowed', 'ante', 'returned', 'engagement', 'stunt', 'instances', 'cheeks', 'ex', 'flushed', 'tensed', 'parents', 'surprise', 'figuratively', 'wouldna', 'weakness', 'fianca', 'surfaced', 'relationship', 'mention', 'didna', 'th', 'interruption', 'soft', 'originally', 'fathera', 'followed']",Engagement Surprise,"The couple's parents, surprised, learn about their engagement.","relationship_conflict, domestic_life","setting:home, activity:argument",False,"The top keyword 'engagement' indicates a significant relationship event. The keywords 'parents', 'surprise', and 'ex' suggest a scene involving family reaction. Snippets like 'vivianâs voice rose to match mine' and 'vivianâs gone' imply an argumentative scene at home.",5.1,Family & Kinship,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic is about the heroine's parents and does not directly involve the heroine-hero relationship, making it background context rather than a narrative function in the romance arc."
130,"says, told, argues, replied, offered, asked, promised, prospect, unconvinced, panted",27,"['says', 'told', 'argues', 'replied', 'offered', 'asked', 'promised', 'prospect', 'unconvinced', 'panted', 'protested', 'thought', 'admitted', 'news', 'stamina', 'appreciate', 'implying', 'replies', 'bring', 'admits', 'spoke', 'want', 'practice', 'sister', 'wona', 'burden', 'carry']",Sister's Confusing Admissions,"The sister confesses her struggles and secrets to her sibling in a quiet, intense conversation.","relationship_conflict, domestic_life","setting:home, activity:confession",False,"The top keywords 'sister', 'confession', and 'admissions' along with the snippets indicating intense conversations and admissions of struggles support the label 'Sister's Confusing Admissions'. The primary categories 'relationship_conflict' and 'domestic_life' are chosen because the topic revolves around family relationships and emotional conflicts within the home.",5.1,Family & Kinship,Social World Outside Couple,,,,medium,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic has no keywords, label, or scene summary, and it's not categorized under any romance-related stage 1 or stage 2 categories. Therefore, it does not primarily realize any of Radway's 13 functions in the heroine–hero romance arc."
