topic_id,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_phase,radway_phase_name,radway_is_none,radway_confidence,label,scene_summary,primary_categories,secondary_categories,label_is_noise,keywords,name,secondary_cats,composite_key,composite_name,composite_note
9,4.5,"Reconciliation, Commitments & HEA",Relationship Trajectory (Main Couple),8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",high,False,R13,Heroine's identity is restored,III,Commitment & Restoration,False,high,Marriage Ceremony Planning,"The couple plans their wedding ceremony, discussing details and arrangements.","romance_core, domestic_life","setting:wedding_planning, activity:planning",False,"married, wedding, marriage, marry, divorce, marrying, divorced, engaged, getting, ceremony",Marriage Ceremony Planning,"setting:wedding_planning, activity:planning",A1_commitment_vows,A1) Commitment & Vows,explicit commitment language (HEA/marriage plot)
192,3.1,Positive Emotions & Security,"Emotions, Cognition & Inner Life",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,medium,Optimistic Reassurance,She reassures him that everything will be fine.,"romance_core, domestic_life","setting:kitchen, activity:conversation",False,"everythinga, ita, perfectly, suited, going, sashimi, fixable, totally, shhhh, sod",Optimistic Reassurance,"setting:kitchen, activity:conversation",A2_emotional_safety,A2) Emotional Safety & Reassurance,safety/trust/comfort affect
360,3.1,Positive Emotions & Security,"Emotions, Cognition & Inner Life",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,low,Relaxing Moment,She finds herself relaxing for the first time all day.,"romance_core, domestic_life","setting:home, activity:relaxing",False,"relax, rest, relaxing, relaxed, enjoy, relaxation, relaxes, abysmally, averse, awash",Relaxing Moment,"setting:home, activity:relaxing",A2_emotional_safety,A2) Emotional Safety & Reassurance,safety/trust/comfort affect
70,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R9,Heroine responds warmly to hero's tenderness,II,Turning Point & Recognition,False,medium,Kitten Rescue And Bonding,"She rescued two hairless kittens, cradling them in her lap, their tiny paws kneading her pasty skin as they purr contentedly.",,,False,"kittens, delivery, cata, purr, claws, rescued, hairless, arrogantly, cheshire, lap",Kitten Rescue And Bonding,,A3_everyday_tenderness,A3) Everyday Tenderness,daily affectionate bonding (non-formal)
230,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),1.5,Exercise & Physical Activity,Embodied & Sensory Experience,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,medium,Wheelchair Bonding,"The couple, Churchill and his partner, bond over his fondness for golf and her interest in information about him, as she sits on his lap in the wheelchair.","romance_core, physical_affection","setting:wheelchair, activity:bonding",False,"didn, testily, talked, hadn, wasn, cast, wheelchair, figured, repeated, told",Wheelchair Bonding,"setting:wheelchair, activity:bonding",A3_everyday_tenderness,A3) Everyday Tenderness,daily affectionate bonding (non-formal)
250,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),1.1,Body Parts & Physical Reactions,Embodied & Sensory Experience,high,False,R9,Heroine responds warmly to hero's tenderness,II,Turning Point & Recognition,False,low,Protective Conversations By Firelight,"She loved him, their conversations bolder and headstrong, as he protectively pampered her by the firelight.","romance_core, relationship_conflict","setting:fireplace, activity:conversation",False,"loved, loves, adored, clearly, humbled, protector, cared, soul, madly, conversations",Protective Conversations By Firelight,"setting:fireplace, activity:conversation",A3_everyday_tenderness,A3) Everyday Tenderness,daily affectionate bonding (non-formal)
275,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R9,Heroine responds warmly to hero's tenderness,II,Turning Point & Recognition,False,medium,Back-to-back Support,"The couple stands back-to-back, each having the other's back in a moment of solidarity.","romance_core, physical_affection","setting:standing, activity:back_to_back",False,"othera, lives, compatible, live, better, work, connected, synapses, physically, pasts",Back-to-back Support,"setting:standing, activity:back_to_back",A3_everyday_tenderness,A3) Everyday Tenderness,daily affectionate bonding (non-formal)
363,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,medium,False,R9,Heroine responds warmly to hero's tenderness,II,Turning Point & Recognition,False,medium,Goofball's Webcam Connection,"She watches him on webcam, feeling a connection despite his goofball antics.","romance_core, physical_affection","setting:webcam, activity:video_chat",False,"garretta, fulfilled, owners, sees, accepting, shouldna, letting, prophecy, webcam, salaciousa",Goofball's Webcam Connection,"setting:webcam, activity:video_chat",A3_everyday_tenderness,A3) Everyday Tenderness,daily affectionate bonding (non-formal)
12,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,medium,Tender Forehead Kisses,"He tenderly kisses her forehead, leaning in with soft lips.","romance_core, physical_affection","setting:bedroom, activity:kissing",False,"kisses, kissed, tongue, mouth, cheek, neck, leans, lip, licks, soft",Tender Forehead Kisses,"setting:bedroom, activity:kissing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
13,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,high,Playful Laughter And Smiles,The couple shares playful laughter and smiles while looking at each other.,"romance_core, physical_affection","setting:living_room, activity:laughing",False,"smiled, smile, smiles, laugh, laughs, laughed, grinned, grin, eyebrows, giggles",Playful Laughter And Smiles,"setting:living_room, activity:laughing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
20,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,medium,Eye Contact And Staring,"The couple's gazes meet and hold, their expressions intense.","romance_core, physical_affection","setting:face_to_face, activity:staring",False,"gaze, stare, staring, looks, stares, look, stared, glares, glances, looked",Eye Contact And Staring,"setting:face_to_face, activity:staring",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
