topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
10,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",27,"['door', 'doors', 'opens', 'opened', 'knock', 'hallway', 'stairs', 'elevators', 'floor', 'doorbell', 'shut', 'lock', 'closed', 'button', 'lobby', 'doorway', 'corridor', 'walk', 'doorman', 'closes', 'hall', 'office', 'foyer', 'building', 'step', 'walked', 'opening']",Knocking On Door,Someone hesitates before knocking on a door in a hallway.,"domestic_life, social_setting","setting:hallway, activity:knocking",False,"The top keywords 'door', 'doors', 'knock', 'hallway' indicate a scene centered around knocking on a door. The snippets confirm this, with phrases like 'can you open the door?' and 'is he coming out the front door?' supporting the label and scene summary.",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic revolves around domestic spaces and routines, specifically doors, which are not central to the heroine–hero relationship. It does not primarily realise any of Radway's 13 functions."
11,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",27,"['wine', 'kitchen', 'plate', 'sip', 'waitress', 'bottle', 'cup', 'mug', 'dinner', 'food', 'eat', 'table', 'tea', 'salad', 'sipped', 'breakfast', 'counter', 'cream', 'lunch', 'bowl', 'fork', 'ice', 'poured', 'took', 'tray', 'sandwich', 'drinks']",Wine Tasting At Dinner,"The couple sits at a dinner table, sipping wine and waiting for their food.","social_setting, romance_core","setting:restaurant, activity:dinner, activity:wine_tasting",False,"The top keywords 'wine', 'dinner', 'food', and 'waitress' indicate a social setting involving a meal. The verb 'sip' suggests wine tasting, which is supported by the snippets mentioning wine glasses and bottles.",8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on actions in a public space, specifically involving wine, which is not directly related to the heroine–hero relationship or its narrative arc. It does not primarily realise any of Radway's 13 functions."
24,"rings, buzzes, pocket, rang, screen, cellphone, nightstand, ringing, message, purse",27,"['rings', 'buzzes', 'pocket', 'rang', 'screen', 'cellphone', 'nightstand', 'ringing', 'message', 'purse', 'buzzed', 'phones', 'vibrates', 'messages', 'dialed', 'grab', 'pinged', 'dings', 'app', 'blackberry', 'pull', 'pick', 'bag', 'beeps', 'check', 'desk', 'checked']",Phone Notifications During Night,"She's about to fall asleep when her phone buzzes on the nightstand, lighting up the screen with an incoming message.","domestic_life, relationship_conflict","setting:bedroom, activity:texting",False,"The top keywords 'phone', 'buzzes', 'nightstand', and 'message' indicate that the topic revolves around phone notifications during nighttime. The snippets confirm this, showing characters reacting to their phones buzzing or vibrating at night.",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic is about a phone buzzing, which is a background context and not directly related to the heroine–hero relationship. It does not correspond to any of Radway's 13 functions."
27,"door, doors, opened, car, stairs, shut, stepped, purse, headed, walked",27,"['door', 'doors', 'opened', 'car', 'stairs', 'shut', 'stepped', 'purse', 'headed', 'walked', 'unlocked', 'hall', 'opens', 'closed', 'button', 'knocked', 'elevators', 'lock', 'knob', 'climbed', 'hallway', 'doorway', 'pulled', 'passenger', 'inside', 'slammed', 'entrance']",Exiting Through Doorways,"She opened the door and stepped out into the hallway, leaving him behind in the car.","domestic_life, social_setting","setting:doorway, activity:exiting",False,"The top keywords 'door', 'doors', 'car', and 'stairs' indicate a scene of exiting through doorways. The snippets confirm this, showing characters opening doors and leaving through them.",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on mundane actions and objects, not the heroine–hero relationship. It lacks keywords, labels, or summaries related to romance or conflict, and its taxonomy group is 'Domestic Spaces & Routines', which is not central to the heroine–hero arc."
30,"game, hockey, puck, players, games, play, player, teams, goalie, goal",27,"['game', 'hockey', 'puck', 'players', 'games', 'play', 'player', 'teams', 'goalie', 'goal', 'offs', 'baseball', 'season', 'stadium', 'football', 'series', 'basketball', 'playoffs', 'sports', 'overtime', 'league', 'playing', 'period', 'nhl', 'teama', 'net', 'fans']",Hockey Game Action,"The couple watches a hockey game, focusing on the players and the puck.","social_setting, romance_core","setting:sports_event, activity:watching_game",False,"The top keywords 'game', 'hockey', 'puck', 'players' indicate a focus on a hockey game. The snippets confirm this, with phrases like 'game on.' and '[NAME] is looking at me with his hockey game face.' This topic describes a social setting where the couple engages in shared interest and bonding over a hockey game.",8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on a 'game' context, which is not directly related to the heroine–hero relationship or their emotional journey. The Stage 2 taxonomy group 'Public & Leisure Spaces' further confirms this topic's background nature."
54,"rang, dialed, message, texted, screen, picked, pocket, texting, checked, rings",27,"['rang', 'dialed', 'message', 'texted', 'screen', 'picked', 'pocket', 'texting', 'checked', 'rings', 'hung', 'buzzed', 'texts', 'ear', 'pulled', 'pulls', 'ringing', 'numbers', 'voicemail', 'called', 'sent', 'phonea', 'purse', 'tracking', 'picture', 'messages', 'app']",Phone Ringing And Answering,"The phone rings, and someone picks it up.","domestic_life, social_setting","setting:phone, activity:answering",False,"The top keywords 'rang', 'ringing', 'phone', and 'picked' indicate a repeated action of the phone ringing and being answered. The snippets confirm this action in different contexts, with 'mama' and '[NAME]' picking up the phone.",8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets indicate that this topic is about phone calls, which is a background context and not directly related to the heroine–hero relationship. It does not belong to the 'Relationship Trajectory (Main Couple)' or 'Sexuality, Attraction & Intimacy' taxonomy groups, and it does not involve any emotional, sexual, or conflict-related content between the heroine and the hero."
57,"shower, bathroom, bath, tub, toilet, bathtub, showers, restroom, showering, showered",27,"['shower', 'bathroom', 'bath', 'tub', 'toilet', 'bathtub', 'showers', 'restroom', 'showering', 'showered', 'spray', 'stall', 'quick', 'showerhead', 'toilets', 'towel', 'use', 'jacuzzi', 'walk', 'bathrooms', 'running', 'turn', 'robe', 'clothes', 'need', 'washing', 'suite']",Shower Hygiene,"The couple heads into the bathroom, with one of them taking a shower.","domestic_life, physical_affection","setting:bathroom, activity:showering",False,"The top keywords 'shower', 'bathroom', and 'bathtub' indicate a scene centered around showering. The snippets confirm this, with characters either taking a shower or preparing to do so.",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic is about daily routines and activities, specifically showering, which is not a narrative function in the heroine–hero romance arc."
72,"natea, hockey, game, bankers, router, weirdly, corporate, general, famously, teama",27,"['natea', 'hockey', 'game', 'bankers', 'router', 'weirdly', 'corporate', 'general', 'famously', 'teama', 'offer', 'box', 'says', 'division', 'jinxing', 'checkpoint', 'ignores', 'travel', 'furthera', 'stunned', 'player', 'whisking', 'manager', 'offs', 'ibits', 'humor', 'gulfstream']",Hockey Game Action,"The couple watches a hockey game together, cheering for their team.","romance_core, social_setting","setting:sports_event, activity:cheering",False,"The top keyword 'hockey' and the snippet '[NAME] a good guy.' indicate a shared interest in hockey. The snippets '[NAME] assistant must be in.' and 'but i donât let go of [NAME] hand.' suggest they are watching the game together, supporting the label 'Hockey Game Action'.",8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic lacks romance-specific keywords, has no label or scene summary, and falls under 'Public & Leisure Spaces', which typically doesn't drive the heroine-hero narrative."
83,"goats, dogs, animal, puppies, animals, sheep, pet, lion, pets, hound",27,"['goats', 'dogs', 'animal', 'puppies', 'animals', 'sheep', 'pet', 'lion', 'pets', 'hound', 'herd', 'videos', 'doga', 'shepherd', 'retriever', 'barking', 'bulldog', 'tail', 'remove', 'sing', 'labrador', 'pit', 'pigs', 'german', 'paws', 'lamb', 'submissive']",Animal Farm Visit,"The couple visits a farm filled with goats, dogs, and other animals.","domestic_life, social_setting","setting:farm, activity:visiting_animals",False,"The top keywords 'goats', 'dogs', 'animal', and 'pets' indicate a focus on animals. The snippets mention visiting and interacting with these animals, suggesting a scene at an animal farm.",8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on goats and related humor, with no direct connection to the heroine–hero relationship or romance arc. The main taxonomy category 'Public & Leisure Spaces' further supports this, as it indicates a background setting rather than a central narrative function."
92,"furniture, fireplace, ceiling, windows, chairs, floors, wood, walls, floor, ceilings",27,"['furniture', 'fireplace', 'ceiling', 'windows', 'chairs', 'floors', 'wood', 'walls', 'floor', 'ceilings', 'leather', 'rugs', 'room', 'decorated', 'marble', 'balcony', 'castle', 'huge', 'modern', 'large', 'sofa', 'rooms', 'area', 'chandelier', 'plush', 'couches', 'mansion']",Luxury Hotel Suite,"The couple explores a lavish hotel suite, admiring the beige furniture, brown wood tables, and floor-to-ceiling windows.","domestic_life, social_setting","setting:hotel_suite, activity:exploring",False,"The top keywords 'furniture', 'fireplace', 'ceiling', 'windows', and 'chairs' describe the interior of a hotel suite. The snippets confirm this, mentioning details like 'matching beige furniture', 'floor-to-ceiling windows', and 'hunter-green' paint. The label and categories reflect this setting and the activity of exploring it.",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on describing physical spaces and furniture, which is background context for the romance narrative. It does not directly involve the heroine–hero relationship or their emotional journey."
112,"rain, winter, wet, raining, chilly, icy, snowing, rained, flakes, freezing",27,"['rain', 'winter', 'wet', 'raining', 'chilly', 'icy', 'snowing', 'rained', 'flakes', 'freezing', 'colder', 'glacier', 'weather', 'outside', 'sky', 'snowy', 'rainstorm', 'skies', 'wind', 'air', 'rains', 'soaked', 'umbrella', 'temperature', 'snowflakes', 'sheets', 'wetter']",Snowy Winter Walk,"The couple walks through the snowy streets, flakes falling around them.","romance_core, domestic_life","setting:outdoors, activity:walking",False,"The top keywords 'rain', 'winter', 'snowy', 'flakes' indicate a snowy setting. The snippets like 'make it rain' and '[NAME] i ask' suggest a couple engaged in an activity together, likely walking given no other specific actions are mentioned.",8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets ('rain.', 'make it rain.', 'the [NAME] i ask.') do not contain any direct references to the heroine, hero, or their relationship. The main taxonomy category 'Public & Leisure Spaces' further supports this, as it indicates the topic is about general environments or activities, not the core romance narrative."
