topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
5,"gone, gotten, given, week, trying, years, learned, seen, maybe, hea",27,"['gone', 'gotten', 'given', 'week', 'trying', 'years', 'learned', 'seen', 'maybe', 'hea', 'wondered', 'think', 'hadna', 'lost', 'job', 'thought', 'fallen', 'ago', 'left', 'way', 'probably', 'wanted', 'going', 'working', 'tried', 'days', 'just']",Long-term Relationship Struggles,"She reflects on their years together, wondering if she's lost her way.","romance_core, relationship_conflict","setting:home, relationship:long_term",False,"The keywords 'years', 'times', and 'things' indicate a long-term relationship. The snippets suggest reflection and uncertainty, supporting the label and categories.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around the heroine's departure, leaving the heroine–hero relationship in limbo. This aligns with R7, as the couple is physically or emotionally separated. The snippets 'sheâs gone' and 'maybe sheâs gone back to her ex-fiancã©' suggest a break or separation, not just an argument or emotional withdrawal."
8,"didna, didn, hadna, couldna, wasna, wanted, wasn, wouldna, knew, blame",27,"['didna', 'didn', 'hadna', 'couldna', 'wasna', 'wanted', 'wasn', 'wouldna', 'knew', 'blame', 'couldn', 'needed', 'hadn', 'did', 'really', 'let', 'want', 'wrong', 'wouldn', 'cared', 'anymore', 'lose', 'thought', 'expected', 'going', 'able', 'maybe']",Unclear Relationship Feelings,"She struggles with her feelings, unsure about her relationship.","romance_core, relationship_conflict","setting:none, activity:thinking",False,"The keywords 'feelings', 'thought', and 'deal' indicate internal conflict and uncertainty. The snippets show a woman grappling with her emotions, supporting the label and categories.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and representative snippets ('she didnat understand.', 'what if she didnat like him?', 'she really didn't want to do this.') suggest the heroine is reacting antagonistically to the hero, expressing her uncertainty or dislike, which aligns with Radway's R2 function."
22,"didna, couldna, wasna, hadna, wouldna, control, fucked, want, expecting, anymore",27,"['didna', 'couldna', 'wasna', 'hadna', 'wouldna', 'control', 'fucked', 'want', 'expecting', 'anymore', 'think', 'expected', 'cared', 'honestly', 'did', 'thought', 'really', 'wanted', 'wasn', 'shouldna', 'noticed', 'thing', 'mind', 'prepared', 'complaining', 'believe', 'matter']",Resisting Temptation,"She struggles with her desire, trying to make the right choice.","romance_core, relationship_conflict","setting:mind, activity:thought",False,"The keywords 'control', 'thought', 'choice', and 'problem' indicate internal conflict. The snippets show her resisting, suggesting a struggle with temptation or making a difficult decision.",3.3,Ambivalence & Internal Conflict,"Emotions, Cognition & Inner Life",,,,high,False,R5,Heroine responds with anger or coldness,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around the heroine's internal conflict and resistance, which is often expressed through coldness or emotional withdrawal (R5). The topic keywords and snippets ('didnat care', 'didnat like it') suggest a guarded, defensive response, fitting Phase I of the romance arc."
29,"minutes, weeks, months, days, week, hours, years, month, seconds, hour",27,"['minutes', 'weeks', 'months', 'days', 'week', 'hours', 'years', 'month', 'seconds', 'hour', 'ago', 'longer', 'ita', 'couple', 'minute', 'passed', 'longest', 'decades', 'later', 'maybe', 'weeksa', 'eta', 'half', 'took', 'lasted', 'counting', 'need']",Time Perception Distortion,"She felt like hours had passed, but it was only minutes.","romance_core, relationship_conflict","setting:undefined, activity:waiting",False,"The top keywords 'minutes', 'hours', and 'seconds' indicate a focus on time perception. The snippets show this time being experienced as distorted, with 'sixty minutes of your time' and 'the minutes feel like hours'. This label captures the typical scene of time passing differently due to emotional state.",3.1,Positive Emotions & Security,"Emotions, Cognition & Inner Life",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic lacks keywords, labels, or summaries related to the heroine–hero relationship, and it's not categorized under romance_core or relationship dynamics. It only discusses time duration, which is not a narrative function in Radway's taxonomy."
40,"loves, doesna, needs, says, miaa, wants, left, likes, lot, job",27,"['loves', 'doesna', 'needs', 'says', 'miaa', 'wants', 'left', 'likes', 'lot', 'job', 'obviously', 'wona', 'upset', 'gets', 'hasna', 'ago', 'told', 'comes', 'wut', 'yeah', 'isna', 'knows', 'community', 'did', 'works', 'manager', 'awesome']",Upset About Job,"She struggles with her feelings about her job, confiding in a friend.","relationship_conflict, domestic_life","setting:home, activity:confiding",False,"Keywords 'job', 'upset', 'friend' indicate a conflict related to work. Snippets show her expressing her feelings, suggesting a scene of emotional struggle and confiding in someone close.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,medium,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,low,"The topic revolves around the heroine expressing love for the hero, which could be interpreted as antagonistic behavior in the initial stages of the romance, as she may be pushing back against his advances or expressing her feelings despite his initial coldness or ambiguity."
41,"ia, used, going, complaining, anymore, ready, heartless, ashamed, wrong, doing",27,"['ia', 'used', 'going', 'complaining', 'anymore', 'ready', 'heartless', 'ashamed', 'wrong', 'doing', 'scared', 'asking', 'picky', 'leaving', 'type', 'saying', 'exactly', 'wired', 'allowed', 'anythinga', 'hardly', 'acting', 'human', 'bombing', 'trying', 'proud', 'cleaners']",Confused About Feelings,"She sits alone, confused about her feelings for him.","romance_core, relationship_conflict","setting:solo, activity:reflecting",False,"The top keywords 'confused', 'feelings', and 'human' indicate a state of emotional turmoil. The snippets show a character grappling with their emotions, with no clear action or setting beyond their internal state.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and representative snippets ('twerps', 'confused', 'not as long as I'm here') suggest a heroine reacting antagonistically to the hero, fitting R2. The negative emotions and distress taxonomy group further supports this, as it often indicates conflict or resistance in the heroine–hero relationship."
45,"want, need, wanted, needed, thata, exactly, isna, wanting, tell, just",27,"['want', 'need', 'wanted', 'needed', 'thata', 'exactly', 'isna', 'wanting', 'tell', 'just', 'thisa', 'thing', 'desperately', 'toa', 'badly', 'say', 'things', 'decide', 'whata', 'isn', 'jus', 'cajoled', 'really', 'demand', 'bearded', 'needing', 'stuff']",Wanting Something,"She wants something, expressing her desire.","romance_core, relationship_conflict","setting:none, activity:expressing_desire",False,"The top keyword 'want' and the snippets 'to want me.', 'to want.', 'i want one.' indicate a scene where someone is expressing their desire for something. This is a core romantic scene as it involves expressing feelings, which is the focus of the 'romance_core' category. The 'relationship_conflict' category is included because the topic could involve conflict or tension around what is being wanted.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,medium,False,R4,Heroine interprets hero's behaviour as purely sexual interest,,I,Initial Conflict & Isolation,False,low,"The topic's keywords ('want', 'want me') suggest the heroine's perception of the hero's interest, which is likely interpreted as purely sexual before any commitment, fitting R4."
48,"breath, lungs, deep, exhale, inhale, breathing, exhaled, breaths, heavily, air",27,"['breath', 'lungs', 'deep', 'exhale', 'inhale', 'breathing', 'exhaled', 'breaths', 'heavily', 'air', 'took', 'suck', 'blow', 'catches', 'oxygen', 'inhaled', 'deeply', 'catch', 'shaky', 'calm', 'whooshes', 'sucked', 'rushes', 'whoosh', 'try', 'huff', 'steadying']",Deep Breaths During Emotional Moment,She takes deep breaths to calm herself during an emotional moment.,"romance_core, relationship_conflict","setting:home, activity:breathing",False,"The top keyword 'breath' and 'deep' indicate a focus on breathing, while 'emotional' from the snippets suggests a romantic or conflictual context. The snippets mention 'calm' and 'away', indicating an emotional moment.",3.1,Positive Emotions & Security,"Emotions, Cognition & Inner Life",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic's keywords and representative snippets ('i've got my breath back.', 'they take my breath away.') suggest a moment of relief, recovery, or strong emotional response, which aligns with R8 (Hero treats heroine tenderly). However, the lack of explicit context makes this a low confidence match."
56,"sleep, asleep, slept, nap, hours, wake, night, woke, nighta, fall",27,"['sleep', 'asleep', 'slept', 'nap', 'hours', 'wake', 'night', 'woke', 'nighta', 'fall', 'lack', 'tired', 'nights', 'fallen', 'hour', 'couldna', 'insomnia', 'havena', 'need', 'sleepa', 'bed', 'middle', 'drifted', 'drift', 'exhausted', 'sleeps', 'cana']",Sleep Deprivation,"She tosses and turns, unable to find rest in the quiet bedroom.","romance_core, domestic_life","setting:bedroom, activity:sleeping",False,"The top keywords 'sleep', 'asleep', 'nap', 'hours', and 'night' indicate a focus on sleep. The snippets describe struggles with sleep, such as 'it was the sweetest sleep i ever had' and 'i never sleep this late'. This topic represents a common experience in romantic fiction, where characters' sleep patterns are affected by stress or emotional turmoil.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic lacks keywords, label, or scene summary, and it's not categorized under romance_core or any main couple relationship trajectory. It's about sleep, which is a background context, not a central part of the heroine–hero relationship arc."
66,"didn, couldn, swallowed, glanced, nodded, hadn, giggled, wasn, despite, friend",27,"['didn', 'couldn', 'swallowed', 'glanced', 'nodded', 'hadn', 'giggled', 'wasn', 'despite', 'friend', 'wouldn', 'sighed', 'blushed', 'smiled', 'sucked', 'breath', 'isn', 'thought', 'whispered', 'shrugged', 'cringed', 'buckles', 'wore', 'wiggled', 'numb', 'moan', 'vulgar']",Bluffing About Feelings,Abbey struggles to understand and express her feelings while interacting with someone.,"relationship_conflict, romance_core","setting:conversation, activity:arguing",False,"The keywords 'bluff', 'feelings', and 'didn't care' along with the snippets indicating Abbey's confusion and lack of understanding support the label 'Bluffing About Feelings'. The primary categories 'relationship_conflict' and 'romance_core' are chosen because the topic revolves around Abbey's emotional struggle in a relationship context.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,medium,False,R5,Heroine responds with anger or coldness,,I,Initial Conflict & Isolation,False,medium,"The topic's representative snippets show Abbey's emotional withdrawal and guardedness, which aligns with R5 - Heroine responds with anger or coldness. The main taxonomy group 'Negative Emotions & Distress' also supports this interpretation."
