topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
3,"dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert",27,"['dinner', 'eat', 'food', 'lunch', 'breakfast', 'bakery', 'chicken', 'sandwich', 'meal', 'dessert', 'hungry', 'restaurant', 'eggs', 'cream', 'plate', 'pizza', 'salad', 'soup', 'delicious', 'fork', 'bread', 'ate', 'pancakes', 'steak', 'sandwiches', 'flour', 'ingredients']",Dinner Invitation,"He invites her to dinner, suggesting a restaurant or specific meal.","romance_core, social_setting","setting:restaurant, activity:invitation",False,"The top keyword 'dinner' and the snippets 'have dinner with me' and 'we should go there for dinner' indicate a scene where someone is inviting another person to dinner. This is a common romantic gesture, hence the 'romance_core' category. The setting is likely a restaurant, as suggested by the keyword 'restaurant' and the snippet 'go there for dinner', which justifies the 'setting:restaurant' secondary category.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around dinner invitations, a common setting for tender moments and emotional connection in romance narratives. This aligns with Radway's function R8, where the hero treats the heroine tenderly, offering care and protection."
12,"kisses, kissed, tongue, mouth, cheek, neck, leans, lip, licks, soft",27,"['kisses', 'kissed', 'tongue', 'mouth', 'cheek', 'neck', 'leans', 'lip', 'licks', 'soft', 'softly', 'lick', 'lower', 'tenderly', 'pulls', 'tender', 'slow', 'forehead', 'teeth', 'gently', 'sucking', 'takes', 'temple', 'thumb', 'kisser', 'pressed', 'cups']",Tender Forehead Kisses,"He tenderly kisses her forehead, leaning in with soft lips.","romance_core, physical_affection","setting:bedroom, activity:kissing",False,"The top keywords 'kisses', 'tender', 'forehead', and 'soft' indicate a gentle, affectionate kissing scene. The snippets confirm this, showing a man kissing a woman's forehead.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around kissing, a tender and affectionate act that often signals a shift in the hero's behavior towards the heroine. This typically occurs in Phase II of Radway's functions, where the hero treats the heroine tenderly, indicating a turning point in their relationship."
13,"smiled, smile, smiles, laugh, laughs, laughed, grinned, grin, eyebrows, giggles",27,"['smiled', 'smile', 'smiles', 'laugh', 'laughs', 'laughed', 'grinned', 'grin', 'eyebrows', 'giggles', 'giggled', 'grins', 'laughter', 'gave', 'small', 'giggle', 'eyebrow', 'bright', 'smirk', 'smirks', 'amused', 'cheeks', 'gives', 'turned', 'looks', 'brightly', 'sweetly']",Playful Laughter And Smiles,The couple shares playful laughter and smiles while looking at each other.,"romance_core, physical_affection","setting:living_room, activity:laughing",False,"The top keywords 'smile', 'laugh', 'laughs', and 'laughter' indicate a joyful, playful mood. The snippets show a mutual exchange of smiles and laughter between two people, suggesting a romantic, affectionate scene.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,R9,II,Turning Point & Recognition,False,high,"The topic's keywords and representative snippets focus on smiling, a non-verbal expression of affection and joy, which is a tender gesture from the hero and a warm response from the heroine. This aligns with Radway's functions R8 (Hero treats heroine tenderly) and R9 (Heroine responds warmly to hero's tenderness)."
14,"smile, smiles, grin, smiled, laugh, grinned, grins, laughed, laughs, smirked",27,"['smile', 'smiles', 'grin', 'smiled', 'laugh', 'grinned', 'grins', 'laughed', 'laughs', 'smirked', 'chuckled', 'laughter', 'amused', 'gleam', 'curved', 'corners', 'flashed', 'widens', 'proudly', 'crooked', 'smirk', 'genuine', 'broadly', 'mouth', 'gives', 'slow', 'dimple']",Playful Smiling Interactions,The couple exchanges playful smiles and laughter while interacting.,"romance_core, physical_affection","setting:various, activity:smiling, activity:laughing",False,"The top keywords 'smile', 'smiles', 'laughter', and 'gleam' are all related to positive, playful expressions. The snippets show characters smiling at each other in various situations, indicating a romantic, affectionate scene.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,high,"The topic's representative snippets all depict the heroine smiling at the hero, indicating a warm response to him. This aligns with Radway's function R9, which describes the heroine responding warmly to the hero's tenderness."
21,"car, driver, limo, parked, parking, cars, driveway, suv, curb, cab",27,"['car', 'driver', 'limo', 'parked', 'parking', 'cars', 'driveway', 'suv', 'curb', 'cab', 'drive', 'drivera', 'pulls', 'vehicle', 'garage', 'taxi', 'traffic', 'mercedes', 'porsche', 'seat', 'driving', 'door', 'passenger', 'engine', 'pulled', 'jeep', 'drove']",Parked Car Makeout,"The couple, parked in his car, engages in passionate kissing.","romance_core, physical_affection","setting:car, activity:kissing",False,"The top keyword 'car' and snippets like 'the back of my car?' and 'in his car' indicate a scene in a vehicle. The verb 'kissing' from the POS cues and its repetition in snippets suggest a romantic, physical activity.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic revolves around affectionate moments in a car, suggesting tenderness and care, which aligns with R8. However, the lack of explicit context or keywords makes the fit less certain."
23,"reesea, merinaa, gwynetha, taga, board, hadna, gave, told, cadea, wasna",27,"['reesea', 'merinaa', 'gwynetha', 'taga', 'board', 'hadna', 'gave', 'told', 'cadea', 'wasna', 'mug', 'turned', 'stood', 'arm', 'chair', 'chuckled', 'grunted', 'came', 'expected', 'moved', 'hand', 'asked', 'lodge', 'audreya', 'sat', 'table', 'gestured']",Board Game Around Table,"The couple sits around a table, playing a board game, their hands occasionally touching.","domestic_life, physical_affection","setting:table, activity:board_game",False,"The top keywords 'board', 'table', 'hand', and 'arm' indicate a shared activity around a table. The snippets show a couple interacting, supporting the 'physical_affection' category.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic's main category 'Bonding, Everyday Intimacy & Growth' and the representative snippets showing casual, familiar interaction ('here we are again', 'tag', 'her') suggest a tender, intimate moment between the characters, fitting Radway's function R8 (Hero treats heroine tenderly)."
25,"smile, laugh, laughter, grin, smiled, grinned, burst, laughed, chuckled, force",27,"['smile', 'laugh', 'laughter', 'grin', 'smiled', 'grinned', 'burst', 'laughed', 'chuckled', 'force', 'bite', 'forced', 'lip', 'chuckle', 'loud', 'stop', 'goofy', 'cheeks', 'help', 'hide', 'biting', 'wipe', 'crosses', 'suppress', 'stifle', 'smiles', 'tried']",Playful Laughter And Smiles,The couple shares playful laughter and smiles while interacting.,"romance_core, physical_affection","setting:living_room, activity:laughing",False,"The top keywords 'smile', 'laugh', 'laughter', and 'grin' indicate playful interactions. The snippets show characters smiling and laughing together, supporting a romantic, playful scene.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,low,"The topic's keywords and snippets suggest a warm response from the heroine, which is characteristic of Phase II in Radway's functions. However, the lack of explicit context makes the confidence level low."
26,"tonight, night, evening, nights, stand, saturday, happened, tonighta, nighttime, nighta",27,"['tonight', 'night', 'evening', 'nights', 'stand', 'saturday', 'happened', 'tonighta', 'nighttime', 'nighta', 'going', 'fun', 'enjoy', 'spend', 'spent', 'special', 'just', 'different', 'ita', 'best', 'middle', 'rest', 'tomorrow', 'previous', 'zone', 'wona', 'uncomplicated']",Nighttime Fun Planning,The couple discusses and plans their evening activities during the night.,"romance_core, social_setting","setting:nighttime, activity:planning",False,"The keywords 'tonight', 'night', 'nights', and 'nighttime' indicate a focus on the night, while 'fun' and 'different' suggest planning for enjoyable activities. The snippets show a conversation about what to do that night, supporting the label and categories.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),8.4,"Time, Seasons & Temporal Framing","Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic's keywords and snippets suggest a tender, intimate moment between the couple, hinting at a turning point in their relationship (R8). However, the lack of explicit context makes this interpretation tentative."
31,"wea, wear, clothes, outfit, wearing, going, wardrobe, worn, clothing, doing",27,"['wea', 'wear', 'clothes', 'outfit', 'wearing', 'going', 'wardrobe', 'worn', 'clothing', 'doing', 'supposed', 'outfits', 'tomorrow', 'working', 'selling', 'different', 'fashion', 'think', 'getting', 'thata', 'compatible', 'having', 'feels', 'point', 'dona', 'just', 'start']",Clothing Shopping Together,"The couple browses clothing racks, trying on outfits and discussing their choices.","domestic_life, romance_core","setting:clothing_store, activity:shopping",False,"The top keywords 'clothes', 'outfit', 'wardrobe', and 'selling' indicate a focus on clothing. The snippets suggest a shared activity, with 'weâre this close' and 'or however long weâre together' implying a couple engaged in the activity together.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",medium,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around the idea of being together, which suggests a tender and caring relationship. The use of 'we' and 'together' implies a closeness and intimacy that is characteristic of Radway's function R8 - Hero treats heroine tenderly."
34,"huntera, cards, california, glanced, archery, turned, chips, shoulder, gritted, threw",27,"['huntera', 'cards', 'california', 'glanced', 'archery', 'turned', 'chips', 'shoulder', 'gritted', 'threw', 'deadpanned', 'shared', 'half', 'dragged', 'groaned', 'eclectic', 'direction', 'believed', 'musta', 'gretchena', 'attendees', 'preventing', 'hunting', 'glancing', 'familya', 'agreed', 'kept']",Archery Hunting,"The couple, wary of each other, engages in a game of archery at a hunting event.","domestic_life, physical_affection","setting:outdoors, activity:hunting, activity:archery",False,"The top keywords 'archery', 'hunting', and 'wary' suggest a competitive outdoor activity with tension between the participants. The snippets confirm this, showing interactions related to hunting and archery.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,low,"Heuristic fallback: original classification was 'none', but taxonomy and primary_categories indicate a romance-core topic in group 'Relationship Trajectory (Main Couple)'. Reassigned to R9 (Heroine responds warmly to hero's tenderness)."
36,"knees, feet, fists, arms, foot, fold, shuffle, fist, shoe, sides",27,"['knees', 'feet', 'fists', 'arms', 'foot', 'fold', 'shuffle', 'fist', 'shoe', 'sides', 'twist', 'legs', 'hold', 'heels', 'sneakers', 'wobble', 'clench', 'finger', 'curl', 'bend', 'jump', 'ground', 'chest', 'hand', 'sandals', 'knee', 'buckle']",Kneeling For Intimacy,"She kneels in front of him, her hands on his knees, looking up at him.","physical_affection, romance_core","setting:bedroom, activity:kneeling",False,"The top keywords 'knees', 'feet', 'fists', 'arms', and 'legs' suggest a kneeling position. The snippets show a person kneeling in front of another, indicating an intimate scene. The label 'Kneeling For Intimacy' and the scene summary capture this action and setting.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic's focus on kissing and non-explicit affection suggests a tender moment between the hero and heroine, fitting Radway's function R8 (Hero treats heroine tenderly). The lack of explicit sexual content and the non-existence of keywords or previous labels/summaries make other functions less likely."
39,"lip, bite, teeth, nose, tongue, mouth, bridge, grit, lick, chew",27,"['lip', 'bite', 'teeth', 'nose', 'tongue', 'mouth', 'bridge', 'grit', 'lick', 'chew', 'cheek', 'moan', 'lower', 'twist', 'bleeds', 'bit', 'saliva', 'biting', 'falls', 'curl', 'wet', 'press', 'inside', 'chewing', 'tooth', 'harshly', 'spills']",Lip Biting During Intimacy,She bites her lower lip as he leans in for a kiss.,"physical_affection, romance_core","setting:bedroom, activity:kissing",False,"The top keywords 'lip', 'teeth', 'bite', and 'mouth' indicate lip biting, while 'tongue', 'moan', and 'saliva' suggest intimacy. The snippets confirm lip biting during intimate moments.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around the heroine's physical expression of affection or nervousness through biting her lip, which is a non-explicit display of emotion. This action often occurs in response to the hero's actions or words, indicating tenderness or attraction, thus fitting Radway's function R8 (Hero treats heroine tenderly)."
43,"ia, going, working, ready, doing, supposed, aware, prepared, oversee, trying",27,"['ia', 'going', 'working', 'ready', 'doing', 'supposed', 'aware', 'prepared', 'oversee', 'trying', 'research', 'hoping', 'reason', 'calling', 'asking', 'justa', 'terminology', 'figuring', 'means', 'thata', 'today', 'famished', 'user', 'giver', 'work', 'focusing', 'looking']",Ready For Action,The user is prepared and eager for a specific task or event.,"romance_core, domestic_life","setting:home, activity:preparing",False,"The top keywords 'ready', 'prepared', 'research', and 'work' indicate a state of readiness. The snippets suggest a user preparing for an action, which fits the label 'Ready For Action'. The primary categories 'romance_core' and 'domestic_life' are chosen because the topic seems to revolve around personal preparation, which could be related to romance or daily life. The secondary categories 'setting:home' and 'activity:preparing' are supported by the keywords and snippets.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,medium,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic's main category 'Bonding, Everyday Intimacy & Growth' suggests a moment of tenderness or support, fitting R8. However, without keywords or a scene summary, confidence is low."
47,"hair, makeup, mascara, lipstick, drag, nape, hairs, rises, bun, strand",27,"['hair', 'makeup', 'mascara', 'lipstick', 'drag', 'nape', 'hairs', 'rises', 'bun', 'strand', 'neck', 'run', 'haircut', 'rake', 'forearms', 'blonde', 'prickles', 'applied', 'wavy', 'ran', 'gloss', 'comb', 'brush', 'hand', 'hairdresser', 'dye', 'smoothed']",Hair And Neck game,He gently runs his fingers through her hair and kisses her neck.,"physical_affection, sexual_content","setting:bedroom, activity:kissing",False,"The keywords 'hair', 'nape', 'rises' and the snippet 'it was that hair' indicate a focus on hair and neck. The verb 'rises' suggests an action, and the context hints guide us to interpret this as foreplay. The snippets also imply a sexual context, making 'sexual_content' an appropriate primary category.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic's focus on kissing and non-explicit affection suggests a tender moment between the hero and heroine, which is characteristic of Radway's function R8. However, the lack of explicit context or keywords makes the fit less certain."
48,"breath, lungs, deep, exhale, inhale, breathing, exhaled, breaths, heavily, air",27,"['breath', 'lungs', 'deep', 'exhale', 'inhale', 'breathing', 'exhaled', 'breaths', 'heavily', 'air', 'took', 'suck', 'blow', 'catches', 'oxygen', 'inhaled', 'deeply', 'catch', 'shaky', 'calm', 'whooshes', 'sucked', 'rushes', 'whoosh', 'try', 'huff', 'steadying']",Deep Breaths During Emotional Moment,She takes deep breaths to calm herself during an emotional moment.,"romance_core, relationship_conflict","setting:home, activity:breathing",False,"The top keyword 'breath' and 'deep' indicate a focus on breathing, while 'emotional' from the snippets suggests a romantic or conflictual context. The snippets mention 'calm' and 'away', indicating an emotional moment.",3.1,Positive Emotions & Security,"Emotions, Cognition & Inner Life",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic's keywords and representative snippets ('i've got my breath back.', 'they take my breath away.') suggest a moment of relief, recovery, or strong emotional response, which aligns with R8 (Hero treats heroine tenderly). However, the lack of explicit context makes this a low confidence match."
53,"dress, dresses, panties, skirt, lace, heels, gown, wearing, wear, stilettos",27,"['dress', 'dresses', 'panties', 'skirt', 'lace', 'heels', 'gown', 'wearing', 'wear', 'stilettos', 'blouse', 'underwear', 'skirts', 'matching', 'neckline', 'straps', 'pair', 'thong', 'lingerie', 'wore', 'bodice', 'fitted', 'shorts', 'colored', 'rack', 'sleeves', 'gold']",Dress Shopping Together,She tries on various dresses while he waits patiently in the fitting room.,"romance_core, domestic_life","setting:clothing_store, activity:shopping",False,"The top keywords 'dress', 'dresses', 'panties', 'skirt', 'lace', etc., along with the snippets mentioning trying on dresses and asking about them, indicate a scene of a couple shopping for dresses together.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,low,"Heuristic fallback: original classification was 'none', but taxonomy and primary_categories indicate a romance-core topic in group 'Relationship Trajectory (Main Couple)'. Reassigned to R9 (Heroine responds warmly to hero's tenderness)."
61,"apologize, forgive, sorry, apology, apologized, apologizing, forgiveness, forgiven, apologies, profusely",27,"['apologize', 'forgive', 'sorry', 'apology', 'apologized', 'apologizing', 'forgiveness', 'forgiven', 'apologies', 'profusely', 'didn', 'accept', 'sincerely', 'owe', 'beg', 'earns', 'dona', 'nonetheless', 'wona', 'begged', 'truly', 'apologizes', 'cominga', 'things', 'acted', 'need', 'rule']",Apology And Forgiveness,"She apologizes for her mistake, and he forgives her, leading to a moment of emotional connection.","romance_core, relationship_conflict","setting:home, activity:apologizing",False,"The top keywords 'forgive', 'sorry', 'apology', and 'forgiveness' indicate a scene centered around apologizing and seeking forgiveness. The snippets show characters apologizing ('I'm sorry...', 'we apologize') and forgiving ('don't apologize', 'he made his brother apologize'), supporting the label 'Apology And Forgiveness'. The primary categories 'romance_core' and 'relationship_conflict' are chosen because the topic revolves around emotional bonding and resolving conflict in a relationship.",4.5,"Reconciliation, Commitments & HEA",Relationship Trajectory (Main Couple),3.1,Positive Emotions & Security,"Emotions, Cognition & Inner Life",high,False,R10,Heroine reinterprets hero's behaviour as result of previous hurt,,II,Turning Point & Recognition,False,medium,"The topic revolves around apologies and moving on, which is a key part of the heroine's reinterpretation of the hero's past behavior, fitting R10. The main taxonomy category of 'Reconciliation, Commitments & HEA' also supports this interpretation."
67,"ravena, aresa, nods, tenses, looks, hurting, walks, wona, marry, stares",27,"['ravena', 'aresa', 'nods', 'tenses', 'looks', 'hurting', 'walks', 'wona', 'marry', 'stares', 'sister', 'despite', 'smiles', 'rosy', 'isna', 'rises', 'shakes', 'married', 'aisle', 'happiness', 'genuine', 'look', 'expression', 'truly', 'grins', 'nod', 'grandmaa']",Married Couple's Affectionate Stares,The married couple exchanges affectionate stares and smiles across the wedding aisle.,"romance_core, physical_affection","setting:wedding_aisle, activity:staring_and_smiling",False,"The keywords 'nods', 'tenses', 'looks', 'stares', 'sister', 'smiles', 'rosy', 'married', 'aisle' and 'happiness' suggest a romantic, affectionate scene. The snippets confirm this, showing a couple exchanging smiles and stares, with the aisle indicating a wedding setting.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic's focus on kissing and non-explicit affection suggests a tender moment between the hero and heroine, which aligns with R8 (Hero treats heroine tenderly). The snippets emphasize the hero's care for the heroine's happiness and her positive reaction, supporting this interpretation."
70,"kittens, delivery, cata, purr, claws, rescued, hairless, arrogantly, cheshire, lap",27,"['kittens', 'delivery', 'cata', 'purr', 'claws', 'rescued', 'hairless', 'arrogantly', 'cheshire', 'lap', 'pasty', 'feed', 'paw', 'rescue', 'vet', 'picture', 'jumps', 'piss', 'pet', 'delivering', 'trampolines', 'average', 'ugliest', 'cama', 'fluffy', 'petted', 'attach']",Kitten Rescue And Bonding,"She rescued two hairless kittens, cradling them in her lap, their tiny paws kneading her pasty skin as they purr contentedly.",,,False,,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,medium,"The topic revolves around bonding and everyday intimacy, which is characteristic of Phase II in Radway's functions. The snippets suggest a warm, caring interaction ('rescued', 'my kittens back'), indicating a response to tenderness (R9)."
71,"pocket, dialed, cellphone, rang, screen, message, hangs, pulls, ringing, buzzed",27,"['pocket', 'dialed', 'cellphone', 'rang', 'screen', 'message', 'hangs', 'pulls', 'ringing', 'buzzed', 'scrolling', 'hung', 'beeped', 'jacket', 'picks', 'picked', 'rings', 'grabs', 'table', 'punching', 'vibrated', 'buzzes', 'button', 'checks', 'holds', 'incoming', 'ear']",Phone Interruption,"He pulls his phone from his pocket to check a message, interrupting their conversation.","romance_core, social_setting","setting:table, activity:checking_phone",False,"The top keywords 'pocket', 'cellphone', 'ringing', 'message' indicate a recurring action of checking messages. The snippets show this action interrupting conversations or moments together, suggesting a core romantic scene with a social setting.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,medium,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,low,"Heuristic fallback: original classification was 'none', but taxonomy and primary_categories indicate a romance-core topic in group 'Relationship Trajectory (Main Couple)'. Reassigned to R9 (Heroine responds warmly to hero's tenderness)."
