topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale,_empty_kw_ratio
0,"ita, ia, need, say, want, going, dona, means, think, idea",27,"['ita', 'ia', 'need', 'say', 'want', 'going', 'dona', 'means', 'think', 'idea', 'thought', 'cana', 'says', 'promise', 'work', 'told', 'youa', 'help', 'better', 'really', 'true', 'just', 'deal', 'tell', 'make', 'didna', 'wona']",Negotiating Deal,The couple discusses terms and expectations for their relationship.,"relationship_conflict, domestic_life","setting:living_room, activity:discussion",False,"The top keywords 'means', 'deal', 'today' and 'work' suggest a negotiation. The snippets show a conversation between two people, indicating a domestic life scene with relationship conflict.",4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),,,,medium,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around hidden information and misunderstandings, which often lead to conflict and antagonism between the hero and heroine in Phase I of the romance narrative. The snippets suggest a tense exchange, with the heroine pushing back against the hero's advances, fitting R2.",0.0
1,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",27,"['kissed', 'hips', 'tongue', 'breasts', 'mouth', 'body', 'arms', 'slid', 'neck', 'thighs', 'nipples', 'moved', 'thrust', 'stroked', 'hand', 'nipple', 'wrapped', 'clit', 'pressed', 'cupped', 'leaned', 'gently', 'waist', 'legs', 'flesh', 'pulled', 'pleasure']",Intimate Breast And Nipple Kissing,He gently kisses her breasts and nipples while she responds with soft moans.,"physical_affection, sexual_content","setting:bedroom, activity:kissing",False,"The top keywords 'breasts', 'mouth', 'nipples' and the snippets describing kissing and responding indicate a scene of intimate breast and nipple kissing.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main_category of 'Explicit Sexual Acts' and the representative snippets describing kisses and oral sex indicate that this topic primarily realizes Radway's function R12, where the heroine responds sexually and emotionally to the hero.",0.0
2,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",27,"['clit', 'pussy', 'tongue', 'hips', 'legs', 'mouth', 'neck', 'pull', 'lip', 'lower', 'thighs', 'waist', 'hair', 'hand', 'thumb', 'arms', 'grip', 'slide', 'moans', 'thrust', 'nipple', 'press', 'suck', 'inside', 'wrap', 'closer', 'body']",Clitoral Stimulation During Foreplay,"She spreads her legs, allowing him to run his tongue along her clit as she moans into his neck.","sexual_content, romance_core","setting:bedroom, activity:oral_sex, sexual:clitoral_stimulation",False,"The top keywords 'clit', 'tongue', 'hips', 'legs', and 'mouth' clearly indicate explicit sexual activity. The snippets confirm this, describing a man stimulating a woman's clitoris with his tongue during foreplay.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets explicitly describe sexual acts, including oral sex and penetration, which align with Radway's function R12. The main taxonomy ID of 2.3 further confirms this, as it falls under 'Explicit Sexual Acts'.",0.0
3,"dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert",27,"['dinner', 'eat', 'food', 'lunch', 'breakfast', 'bakery', 'chicken', 'sandwich', 'meal', 'dessert', 'hungry', 'restaurant', 'eggs', 'cream', 'plate', 'pizza', 'salad', 'soup', 'delicious', 'fork', 'bread', 'ate', 'pancakes', 'steak', 'sandwiches', 'flour', 'ingredients']",Dinner Invitation,"He invites her to dinner, suggesting a restaurant or specific meal.","romance_core, social_setting","setting:restaurant, activity:invitation",False,"The top keyword 'dinner' and the snippets 'have dinner with me' and 'we should go there for dinner' indicate a scene where someone is inviting another person to dinner. This is a common romantic gesture, hence the 'romance_core' category. The setting is likely a restaurant, as suggested by the keyword 'restaurant' and the snippet 'go there for dinner', which justifies the 'setting:restaurant' secondary category.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around dinner invitations, a common setting for tender moments and emotional connection in romance narratives. This aligns with Radway's function R8, where the hero treats the heroine tenderly, offering care and protection.",0.0
4,"seen, felt, ia, wanted, hea, experienced, loved, dated, thought, told",27,"['seen', 'felt', 'ia', 'wanted', 'hea', 'experienced', 'loved', 'dated', 'thought', 'told', 'bothered', 'knew', 'let', 'forgive', 'cared', 'way', 'leave', 'shoulda', 'expected', 'certainly', 'years', 'happen', 'given', 'vowed', 'lived', 'matter', 'things']",Unclear Relationship Feelings,The couple expresses confusion about their relationship status and past behavior.,"romance_core, relationship_conflict","setting:home, activity:conversation",False,"The top keywords 'relationship', 'feelings', and 'years' indicate a focus on emotional dynamics. The snippets describe characters expressing surprise at each other's behavior, suggesting uncertainty about their relationship status.",4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around secrets and hidden information, suggesting a separation or distance between the hero and heroine. The keywords 'never seen' imply a lack of familiarity or shared history, which is characteristic of Phase I separation. There are no clear signs of tenderness, recognition, or commitment, so it's not fitting for Phase II or III.",0.0
5,"gone, gotten, given, week, trying, years, learned, seen, maybe, hea",27,"['gone', 'gotten', 'given', 'week', 'trying', 'years', 'learned', 'seen', 'maybe', 'hea', 'wondered', 'think', 'hadna', 'lost', 'job', 'thought', 'fallen', 'ago', 'left', 'way', 'probably', 'wanted', 'going', 'working', 'tried', 'days', 'just']",Long-term Relationship Struggles,"She reflects on their years together, wondering if she's lost her way.","romance_core, relationship_conflict","setting:home, relationship:long_term",False,"The keywords 'years', 'times', and 'things' indicate a long-term relationship. The snippets suggest reflection and uncertainty, supporting the label and categories.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around the heroine's departure, leaving the heroine–hero relationship in limbo. This aligns with R7, as the couple is physically or emotionally separated. The snippets 'sheâs gone' and 'maybe sheâs gone back to her ex-fiancã©' suggest a break or separation, not just an argument or emotional withdrawal.",0.0
6,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",27,"['wine', 'sip', 'bottle', 'drunk', 'whiskey', 'waiter', 'scotch', 'alcohol', 'drinking', 'poured', 'cup', 'drinks', 'sips', 'glasses', 'drank', 'pour', 'tea', 'mug', 'bar', 'liquor', 'table', 'vodka', 'tequila', 'took', 'beers', 'set', 'tray']",Wine-drinking At Table,"The couple sits at a table, sipping wine from their glasses.","social_setting, physical_affection","setting:table, activity:drinking_wine",False,"The top keywords 'wine', 'sip', 'bottle', and 'drunk' indicate a scene centered around drinking wine. The snippets show characters engaging in this activity at a table, supporting the label and chosen categories.",5.2,Friends & Social Circles,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on the heroine's actions with wine, which do not directly relate to the heroine–hero relationship or any of Radway's 13 functions. The Stage 2 taxonomy group 'Friends & Social Circles' further supports that this topic is about the heroine's social world outside the couple, not the core romance narrative.",0.0
7,"didn, won, therea, doesn, aren, thata, isn, mattered, shouldn, problem",27,"['didn', 'won', 'therea', 'doesn', 'aren', 'thata', 'isn', 'mattered', 'shouldn', 'problem', 'matter', 'deal', 'idea', 'ita', 'wasn', 'matters', 'absolutely', 'point', 'luck', 'choice', 'true', 'fault', 'necessary', 'say', 'need', 'want', 'reason']",Relationship Ambiguity Conversation,"The couple sits together, struggling to express their feelings and clarify their relationship status.","romance_core, relationship_conflict","setting:living_room, activity:conversation",False,"The keywords 'problem', 'deal', 'idea', 'point', and 'need' suggest a conversation about a relationship issue. The snippets show the couple discussing their feelings without resolution, indicating ambiguity and conflict.",4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around secrets and misunderstandings, which often lead to separation or distance between the hero and heroine. The snippets suggest a lack of communication and understanding, which is typical of Phase I in Radway's functions.",0.0
8,"didna, didn, hadna, couldna, wasna, wanted, wasn, wouldna, knew, blame",27,"['didna', 'didn', 'hadna', 'couldna', 'wasna', 'wanted', 'wasn', 'wouldna', 'knew', 'blame', 'couldn', 'needed', 'hadn', 'did', 'really', 'let', 'want', 'wrong', 'wouldn', 'cared', 'anymore', 'lose', 'thought', 'expected', 'going', 'able', 'maybe']",Unclear Relationship Feelings,"She struggles with her feelings, unsure about her relationship.","romance_core, relationship_conflict","setting:none, activity:thinking",False,"The keywords 'feelings', 'thought', and 'deal' indicate internal conflict and uncertainty. The snippets show a woman grappling with her emotions, supporting the label and categories.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and representative snippets ('she didnat understand.', 'what if she didnat like him?', 'she really didn't want to do this.') suggest the heroine is reacting antagonistically to the hero, expressing her uncertainty or dislike, which aligns with Radway's R2 function.",0.0
9,"married, wedding, marriage, marry, divorce, marrying, divorced, engaged, getting, ceremony",27,"['married', 'wedding', 'marriage', 'marry', 'divorce', 'marrying', 'divorced', 'engaged', 'getting', 'ceremony', 'planner', 'wea', 'arranged', 'honeymoon', 'youa', 'want', 'planning', 'papers', 'annulled', 'groom', 'engagement', 'soon', 'years', 'months', 'isna', 'weeks', 'vegas']",Marriage Ceremony Planning,"The couple plans their wedding ceremony, discussing details and arrangements.","romance_core, domestic_life","setting:wedding_planning, activity:planning",False,"The top keywords 'married', 'wedding', 'marriage', 'ceremony', 'planner' indicate a focus on wedding planning. The snippets discuss marriage and planning, supporting the label and categories.",4.5,"Reconciliation, Commitments & HEA",Relationship Trajectory (Main Couple),8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",high,False,R13,Heroine's identity is restored,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets all revolve around the concept of marriage, which is a clear indicator of the heroine's identity being restored (R13) in the heroine–hero romance arc. The main taxonomy ID of 4.5 further supports this, as it falls under 'Reconciliation, Commitments & HEA'.",0.0
