composite_key,topic_id,name,keywords,taxonomy_main_id,taxonomy_main_name
A1_commitment_vows,9,Marriage Ceremony Planning,"married, wedding, marriage, marry, divorce, marrying, divorced, engaged, getting, ceremony",4.5,"Reconciliation, Commitments & HEA"
A1_commitment_vows,61,Apology And Forgiveness,"apologize, forgive, sorry, apology, apologized, apologizing, forgiveness, forgiven, apologies, profusely",4.5,"Reconciliation, Commitments & HEA"
A1_commitment_vows,163,Redemption Pursuit,"yoursa, youa, whata, redemption, contemporary, blur, favorite, covet, steal, tylera",4.5,"Reconciliation, Commitments & HEA"
A2_emotional_safety,29,Time Perception Distortion,"minutes, weeks, months, days, week, hours, years, month, seconds, hour",3.1,Positive Emotions & Security
A2_emotional_safety,48,Deep Breaths During Emotional Moment,"breath, lungs, deep, exhale, inhale, breathing, exhaled, breaths, heavily, air",3.1,Positive Emotions & Security
A2_emotional_safety,85,Pride In Accomplishments,"did, tried, thought, try, trya, course, dida, really, wona, hoped",3.1,Positive Emotions & Security
A2_emotional_safety,178,Pursuit Of Happiness,"happiness, happier, make, makes, satisfaction, happily, deserve, cheerful, tools, percent",3.1,Positive Emotions & Security
A2_emotional_safety,182,Cheek Heating Conversation,"tough, umma, jerky, battle, dig, cheeks, theya, talk, getting, ita",3.1,Positive Emotions & Security
A2_emotional_safety,190,Religious Piety Display,"et, religion, priest, deity, salvation, religious, puke, showering, greek, fondler",3.1,Positive Emotions & Security
A2_emotional_safety,192,Optimistic Reassurance,"everythinga, ita, perfectly, suited, going, sashimi, fixable, totally, shhhh, sod",3.1,Positive Emotions & Security
A2_emotional_safety,299,Grateful Expressions,"glad, grateful, proud, thrilled, ia, thankful, excited, shows, gratitude, item",3.1,Positive Emotions & Security
A2_emotional_safety,303,Living Life To Fullest,"live, fullest, lived, motto, occasion, cartoonish, lives, lifetime, adult, goal",3.1,Positive Emotions & Security
A2_emotional_safety,355,Blushing Cheeks Conversation,"cheeks, flush, flushes, sears, burn, floods, redden, flushed, burns, hotter",3.1,Positive Emotions & Security
A2_emotional_safety,360,Relaxing Moment,"relax, rest, relaxing, relaxed, enjoy, relaxation, relaxes, abysmally, averse, awash",3.1,Positive Emotions & Security
A2_emotional_safety,361,Proud Of Accomplishments,"glad, proud, excited, ia, honored, grateful, wonderful, talented, thrilled, consultants",3.1,Positive Emotions & Security
A3_everyday_tenderness,70,Kitten Rescue And Bonding,"kittens, delivery, cata, purr, claws, rescued, hairless, arrogantly, cheshire, lap",4.2,"Bonding, Everyday Intimacy & Growth"
A3_everyday_tenderness,250,Protective Conversations By Firelight,"loved, loves, adored, clearly, humbled, protector, cared, soul, madly, conversations",4.2,"Bonding, Everyday Intimacy & Growth"
A3_everyday_tenderness,275,Back-to-back Support,"othera, lives, compatible, live, better, work, connected, synapses, physically, pasts",4.2,"Bonding, Everyday Intimacy & Growth"
A3_everyday_tenderness,363,Goofball's Webcam Connection,"garretta, fulfilled, owners, sees, accepting, shouldna, letting, prophecy, webcam, salaciousa",4.2,"Bonding, Everyday Intimacy & Growth"
B1_attraction_chemistry,12,Tender Forehead Kisses,"kisses, kissed, tongue, mouth, cheek, neck, leans, lip, licks, soft",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,13,Playful Laughter And Smiles,"smiled, smile, smiles, laugh, laughs, laughed, grinned, grin, eyebrows, giggles",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,20,Eye Contact And Staring,"gaze, stare, staring, looks, stares, look, stared, glares, glances, looked",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,21,Parked Car Makeout,"car, driver, limo, parked, parking, cars, driveway, suv, curb, cab",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,25,Playful Laughter And Smiles,"smile, laugh, laughter, grin, smiled, grinned, burst, laughed, chuckled, force",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,36,Kneeling For Intimacy,"knees, feet, fists, arms, foot, fold, shuffle, fist, shoe, sides",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,38,Eye Contact And Staring,"looks, gaze, stares, glare, stare, look, glances, looked, glanced, staring",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,39,Lip Biting During Intimacy,"lip, bite, teeth, nose, tongue, mouth, bridge, grit, lick, chew",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,47,Hair And Neck game,"hair, makeup, mascara, lipstick, drag, nape, hairs, rises, bun, strand",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,58,Compliments And Flirting,"look, youa, stunning, seen, attractive, sweeter, breathtakingly, absolutely, utterly, looks",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,75,Bedroom Encounter,"bed, bedroom, couch, sheets, sofa, covers, pillows, mattress, flop, edge",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,78,Tender Forehead Kisses,"lucaa, wraps, enzoa, cups, eliciting, gaze, looks, brushing, arm, smiles",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,97,Eyes Closed In Intimacy,"closed, eyelids, shut, sockets, squeeze, vision, fluttered, narrow, bulge, nearly",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,125,Mid-flight Makeout,"flight, plane, jet, airport, helicopter, pilot, runway, flying, fly, jfk",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,129,Condom Check Before Sex,"condom, condoms, wrapper, packet, wallet, nightstand, expired, drawer, pocket, rolled",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,164,Eye Contact And Connection,"locked, stare, gazes, stared, lock, othera, moment, staring, meet, air",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,171,Bedroom Intimacy,"bed, mattress, bedroom, edge, sits, carries, covers, pushes, pillow, crawls",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,184,Low Voice Conversations,"low, lowers, trails, gruff, husky, hoarse, drops, rough, speaks, soft",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,196,Admiring Handsome Man,"attractive, hea, incredibly, refined, devastatingly, handsomeness, irresistible, looks, endowed, looked",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,207,Scent-induced Arousal,"scent, cologne, smell, smells, smelled, soap, musk, sandalwood, cedar, masculine",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,211,Hair Play During Intimacy,"hair, blonde, waves, shoulders, bun, strands, fell, swept, breeze, braid",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,229,Fascinated Gaze,"widens, narrowed, gaze, widened, widen, tilts, narrows, brows, tilted, furrowed",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,235,Imperious Gaze,"henrya, dennya, turns, smuckersa, gaze, spins, narrows, everybody, defray, gets",2.1,Attraction & Sexual Tension
