topic_id,in_taxonomy,in_semantics,in_quality,selected_final,dropped_stage,tier_used,fallback_used,composite_key
9,True,True,True,True,none,relaxed,True,A1_commitment_vows
61,True,False,False,True,none,relaxed,True,A1_commitment_vows
163,True,False,False,True,none,relaxed,True,A1_commitment_vows
29,True,False,False,True,none,relaxed,True,A2_emotional_safety
48,True,False,False,True,none,relaxed,True,A2_emotional_safety
85,True,False,False,True,none,relaxed,True,A2_emotional_safety
178,True,False,False,True,none,relaxed,True,A2_emotional_safety
182,True,False,False,True,none,relaxed,True,A2_emotional_safety
190,True,False,False,True,none,relaxed,True,A2_emotional_safety
192,True,True,True,True,none,relaxed,True,A2_emotional_safety
299,True,False,False,True,none,relaxed,True,A2_emotional_safety
303,True,False,False,True,none,relaxed,True,A2_emotional_safety
355,True,False,False,True,none,relaxed,True,A2_emotional_safety
360,True,True,True,True,none,relaxed,True,A2_emotional_safety
361,True,False,False,True,none,relaxed,True,A2_emotional_safety
3,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
14,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
23,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
26,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
31,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
34,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
35,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
43,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
53,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
70,True,True,True,True,none,strict,False,A3_everyday_tenderness
71,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
96,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
100,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
105,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
106,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
108,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
110,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
115,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
116,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
119,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
120,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
121,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
128,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
136,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
140,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
141,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
142,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
143,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
144,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
152,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
155,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
156,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
157,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
159,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
161,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
170,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
175,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
180,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
183,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
185,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
189,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
198,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
204,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
210,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
220,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
226,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
228,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
230,True,True,False,False,quality,strict,False,A3_everyday_tenderness
232,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
233,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
246,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
250,True,True,True,True,none,strict,False,A3_everyday_tenderness
256,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
258,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
260,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
263,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
275,True,True,True,True,none,strict,False,A3_everyday_tenderness
282,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
287,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
289,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
305,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
306,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
307,True,False,False,False,semantics,strict,False,A3_everyday_tenderness
